"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","AA/AO","45","45","22050","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","EO","25","25","28140","28850"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","G6/G7","65","60","53710","52460"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","SEO/HEO","15","15","35260","35000"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","G6/G7","15","15","56150","56450"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","AA/AO","80","75","22390","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","EO","70","65","27420","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","G6/G7","115","105","54850","53150"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","SEO/HEO","50","50","35030","33100"
"In post","2023","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","West Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","West Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","West Northamptonshire","G6/G7","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","West Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Cambridgeshire CC","G6/G7","10","10","51400","49050"
"In post","2023","Attorney General's Departments","East of England","Cambridgeshire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex Haven Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex Thames Gateway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","AA/AO","45","40","24030","24480"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","EO","45","40","29630","30210"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","G6/G7","85","75","61010","58820"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","SEO/HEO","30","30","38520","40670"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","AA/AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","G6/G7","90","80","61270","63370"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","SEO/HEO","20","20","38100","38660"
"In post","2023","Attorney General's Departments","East of England","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","AA/AO","30","25","22380","22870"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","EO","25","20","27500","26900"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","G6/G7","25","20","57880","60550"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","SEO/HEO","15","15","35750","36880"
"In post","2023","Attorney General's Departments","East of England","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Suffolk CC","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Suffolk CC","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Suffolk CC","G6/G7","15","15","56850","56450"
"In post","2023","Attorney General's Departments","East of England","Suffolk CC","SEO/HEO","5","5","[c]","[c]"
