"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","85","85","19190","18780"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","15","15","18410","18280"
"In post","2023","16-19","Bedford","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","AA/AO","AO","35","35","22810","22460"
"In post","2023","16-19","Birmingham","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Birmingham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","AA/AO","AO","20","20","22380","22520"
"In post","2023","16-19","Bradford","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","AA/AO","AO","15","15","22670","22510"
"In post","2023","16-19","Bristol, City of","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","AA/AO","AO","10","10","25420","26470"
"In post","2023","16-19","Cambridgeshire CC","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","AA/AO","AO","30","30","22760","22520"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","AA/AO","AO","10","10","28620","30880"
"In post","2023","16-19","Central Hampshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Central Valleys","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","AA/AO","AA","10","10","22590","22180"
"In post","2023","16-19","City of Edinburgh","AA/AO","AO","10","10","23550","22520"
"In post","2023","16-19","Clackmannanshire and Fife","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","AA/AO","AO","10","10","26780","26920"
"In post","2023","16-19","Croydon","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Croydon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Darlington","EO","EO","10","10","[c]","[c]"
"In post","2023","16-19","Devon CC","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Devon CC","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","16-19","Dorset","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Durham","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Durham","AA/AO","AO","20","15","25910","28880"
"In post","2023","16-19","Durham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","AO","10","10","19970","19760"
"In post","2023","16-19","East Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","East Kent","AA/AO","AO","30","30","22460","22400"
"In post","2023","16-19","East Kent","EO","EO","10","10","26150","25750"
"In post","2023","16-19","East Riding of Yorkshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Riding of Yorkshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","East Surrey","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Glasgow City","AA/AO","AA","20","20","22650","22180"
"In post","2023","16-19","Glasgow City","AA/AO","AO","20","15","22540","22520"
"In post","2023","16-19","Glasgow City","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North East","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South East","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","AA/AO","AO","10","10","22510","22520"
"In post","2023","16-19","Greater Manchester South West","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gwynedd","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Harrow and Hillingdon","AA/AO","AO","15","15","26400","26400"
"In post","2023","16-19","Harrow and Hillingdon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hartlepool and Stockton-on-Tees","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hounslow and Richmond upon Thames","AA/AO","AO","[c]","[c]","[c]","[c]"
