"Status","Year","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA","Female","Heterosexual / straight","5340","4595","22010","22520"
"In post","2023","AA","Female","LGBO","475","450","22610","23230"
"In post","2023","AA","Female","Undeclared","730","580","21050","19930"
"In post","2023","AA","Female","Unknown","2580","2235","22530","22520"
"In post","2023","AA","Male","Heterosexual / straight","6165","5855","22120","22130"
"In post","2023","AA","Male","LGBO","270","260","22360","23000"
"In post","2023","AA","Male","Undeclared","700","660","21690","21380"
"In post","2023","AA","Male","Unknown","2440","2290","22890","23000"
"In post","2023","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","AO","Female","Heterosexual / straight","42650","36770","23590","22400"
"In post","2023","AO","Female","LGBO","2735","2595","25470","22520"
"In post","2023","AO","Female","Undeclared","5250","4425","23440","22400"
"In post","2023","AO","Female","Unknown","16625","14330","23730","22520"
"In post","2023","AO","Male","Heterosexual / straight","31435","30175","26050","22520"
"In post","2023","AO","Male","LGBO","2175","2100","24360","22520"
"In post","2023","AO","Male","Undeclared","3700","3490","25540","22520"
"In post","2023","AO","Male","Unknown","13325","12745","25530","22520"
"In post","2023","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","EO","Female","Heterosexual / straight","49510","44565","28720","28120"
"In post","2023","EO","Female","LGBO","2790","2680","28940","28120"
"In post","2023","EO","Female","Undeclared","5605","4955","28800","28120"
"In post","2023","EO","Female","Unknown","14515","13070","28880","28120"
"In post","2023","EO","Male","Heterosexual / straight","35030","33800","29470","28120"
"In post","2023","EO","Male","LGBO","2615","2550","28740","28120"
"In post","2023","EO","Male","Undeclared","4940","4655","29520","28120"
"In post","2023","EO","Male","Unknown","12330","11860","29490","28120"
"In post","2023","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","G6","Female","Heterosexual / straight","7415","7030","70420","68960"
"In post","2023","G6","Female","LGBO","340","330","70060","67960"
"In post","2023","G6","Female","Undeclared","790","745","70820","68850"
"In post","2023","G6","Female","Unknown","1540","1450","70710","69490"
"In post","2023","G6","Male","Heterosexual / straight","7405","7245","71200","70250"
"In post","2023","G6","Male","LGBO","620","615","70150","69070"
"In post","2023","G6","Male","Undeclared","950","915","71830","70990"
"In post","2023","G6","Male","Unknown","1685","1640","71620","70330"
"In post","2023","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","G7","Female","Heterosexual / straight","19790","18820","56290","55440"
"In post","2023","G7","Female","LGBO","1205","1180","55960","55120"
"In post","2023","G7","Female","Undeclared","1970","1880","56500","55440"
"In post","2023","G7","Female","Unknown","4165","3945","56850","56000"
"In post","2023","G7","Male","Heterosexual / straight","18680","18330","57070","56180"
"In post","2023","G7","Male","LGBO","1590","1575","56650","55740"
"In post","2023","G7","Male","Undeclared","2430","2375","57290","56430"
"In post","2023","G7","Male","Unknown","4645","4540","57340","56590"
"In post","2023","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","HEO","Female","Heterosexual / straight","31570","29795","34770","34400"
"In post","2023","HEO","Female","LGBO","2190","2140","34600","34300"
"In post","2023","HEO","Female","Undeclared","3320","3120","34950","34400"
"In post","2023","HEO","Female","Unknown","7910","7565","35050","34700"
