"Status","Year","Organisation","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","East Ayrshire and North Ayrshire mainland","Outside London","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","York","Outside London","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","York","Outside London","[c]","[c]","[c]","[c]"
