"Status","Year","Age","Disability","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","East Wales","[c]","[c]","[c]","[c]"
