"Status","Year","Ethnicity","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","30","30","43000","35700"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Heterosexual / straight","45","45","42890","43250"
"In post","2023","Asian","Analysis","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
