"Status","Year","Disability","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","South West (England)","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","London","45","40","33080","32520"
"In post","2023","Declared disabled","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","South East (England)","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","West Midlands (England)","20","20","[c]","[c]"
