"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","SCS level","Female","2195","2075","90040","81780"
"In post","2023","London","SCS level","Male","2220","2185","95210","85640"
"In post","2023","London","SEO","Female","8410","8145","44130","43650"
"In post","2023","London","SEO","Male","7395","7295","44710","43750"
"In post","2023","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","London","Unknown","Female","1775","1670","35030","33050"
"In post","2023","London","Unknown","Male","685","660","35850","33050"
"In post","2023","North East (England)","AA","Female","585","450","22380","22520"
"In post","2023","North East (England)","AA","Male","405","370","22140","22520"
"In post","2023","North East (England)","AO","Female","7280","5995","22810","22520"
"In post","2023","North East (England)","AO","Male","4695","4410","24120","22520"
"In post","2023","North East (England)","EO","Female","5050","4475","27910","28120"
"In post","2023","North East (England)","EO","Male","3415","3270","28330","28120"
"In post","2023","North East (England)","G6","Female","325","315","68280","68610"
"In post","2023","North East (England)","G6","Male","405","400","69480","69060"
"In post","2023","North East (England)","G7","Female","1090","1035","54520","53810"
"In post","2023","North East (England)","G7","Male","1285","1265","55300","55780"
"In post","2023","North East (England)","HEO","Female","2680","2515","33860","34170"
"In post","2023","North East (England)","HEO","Male","2235","2175","34320","34450"
"In post","2023","North East (England)","SCS level","Female","80","75","87040","78750"
"In post","2023","North East (England)","SCS level","Male","75","70","94340","85620"
"In post","2023","North East (England)","SEO","Female","1750","1655","41250","41780"
"In post","2023","North East (England)","SEO","Male","1580","1545","41690","41780"
"In post","2023","North East (England)","Unknown","Female","1005","940","29690","29050"
"In post","2023","North East (England)","Unknown","Male","310","295","30790","29050"
"In post","2023","North West (England)","AA","Female","825","705","21580","21380"
"In post","2023","North West (England)","AA","Male","770","710","21930","22520"
"In post","2023","North West (England)","AO","Female","11385","9785","22820","22400"
"In post","2023","North West (England)","AO","Male","7880","7545","24030","22400"
"In post","2023","North West (England)","EO","Female","11110","9975","27810","28120"
"In post","2023","North West (England)","EO","Male","7855","7580","28260","28120"
"In post","2023","North West (England)","G6","Female","690","665","69110","67970"
"In post","2023","North West (England)","G6","Male","805","785","70270","69940"
"In post","2023","North West (England)","G7","Female","2505","2390","54960","54280"
"In post","2023","North West (England)","G7","Male","2385","2340","55850","55780"
"In post","2023","North West (England)","HEO","Female","5380","5075","33830","34170"
"In post","2023","North West (England)","HEO","Male","4665","4555","34510","34400"
"In post","2023","North West (England)","SCS level","Female","165","160","88960","81120"
"In post","2023","North West (England)","SCS level","Male","160","160","92930","85740"
"In post","2023","North West (England)","SEO","Female","3605","3440","41240","40840"
"In post","2023","North West (England)","SEO","Male","3105","3035","42050","41780"
