"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","40","35","62690","56470"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","50","45","39430","39490"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","15","15","41140","37300"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SEO/HEO","10","10","38210","36000"
"In post","2023","Commercial","East of England","East Anglia","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","EO","15","15","27420","27470"
"In post","2023","Commercial","East of England","East Anglia","G6/G7","60","60","66090","66000"
"In post","2023","Commercial","East of England","East Anglia","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","SEO/HEO","150","145","38720","39860"
"In post","2023","Commercial","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","EO","10","10","30250","29660"
"In post","2023","Commercial","London","Inner London - East","G6/G7","60","60","64310","61850"
"In post","2023","Commercial","London","Inner London - East","SCS level","15","15","111480","107710"
"In post","2023","Commercial","London","Inner London - East","SEO/HEO","95","95","39360","36390"
"In post","2023","Commercial","London","Inner London - West","AA/AO","20","20","25690","25480"
"In post","2023","Commercial","London","Inner London - West","EO","65","65","30760","30950"
"In post","2023","Commercial","London","Inner London - West","G6/G7","645","635","66570","66270"
"In post","2023","Commercial","London","Inner London - West","SCS level","145","140","122260","118420"
"In post","2023","Commercial","London","Inner London - West","SEO/HEO","420","410","39950","40260"
"In post","2023","Commercial","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","AA/AO","10","10","28920","28180"
"In post","2023","Commercial","London","Outer London - South","EO","25","20","31150","31310"
"In post","2023","Commercial","London","Outer London - South","G6/G7","40","35","70480","70490"
"In post","2023","Commercial","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","SEO/HEO","75","75","43500","43210"
"In post","2023","Commercial","London","Outer London - West and North West","AA/AO","20","20","23800","23460"
"In post","2023","Commercial","London","Outer London - West and North West","EO","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","G6/G7","15","15","61940","60750"
"In post","2023","Commercial","London","Outer London - West and North West","SEO/HEO","20","20","38500","38890"
"In post","2023","Commercial","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
