"Status","Year","Disability","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","EO","50","45","29810","30800"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","10","10","[c]","[c]"
