"Status","Year","Parent_department","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Female","Heterosexual / straight","50","50","43600","40540"
"In post","2023","Attorney General's Departments","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Female","Heterosexual / straight","75","75","41670","36040"
"In post","2023","Attorney General's Departments","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Male","Heterosexual / straight","100","100","51000","43530"
"In post","2023","Attorney General's Departments","Counter Fraud","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Female","Heterosexual / straight","60","60","41460","36530"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Male","Heterosexual / straight","105","105","47100","41780"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Female","Heterosexual / straight","105","95","31060","27980"
"In post","2023","Attorney General's Departments","Finance","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
