"Status","Year","Age","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","40-49","London","1215","[c]","43240","35410"
"New entrant CS","2023","40-49","Outside London","7985","[c]","32090","27500"
"New entrant CS","2023","40-49","Overseas","15","[c]","49930","39680"
"New entrant CS","2023","40-49","Unknown","45","[c]","29290","24330"
"New entrant CS","2023","50-59","London","840","[c]","41630","32520"
"New entrant CS","2023","50-59","Outside London","6445","[c]","31200","25750"
"New entrant CS","2023","50-59","Overseas","20","[c]","52770","47380"
"New entrant CS","2023","50-59","Unknown","35","[c]","33520","28880"
"New entrant CS","2023","60-64","London","175","[c]","40780","32150"
"New entrant CS","2023","60-64","Outside London","1345","[c]","28950","23640"
"New entrant CS","2023","60-64","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","London","55","[c]","43480","30310"
"New entrant CS","2023","65+","Outside London","355","[c]","29690","23230"
"New entrant CS","2023","65+","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","70","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Outside London","50","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
