"Status","Year","Disability","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","1475","1350","31800","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","190","180","31620","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","210","195","31160","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","100","90","29590","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","680","610","28360","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","70","65","27720","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","95","85","29400","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","35","35","26070","23390"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Heterosexual / straight","370","340","29640","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","LGBO","35","35","31990","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Undeclared","55","50","28860","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","460","420","34320","31280"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","LGBO","50","50","30120","29350"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Undeclared","60","55","31230","30120"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","30","25","33340","30810"
"In post","2023","Declared disabled","East of England","East Anglia","Heterosexual / straight","1320","1205","31160","28120"
"In post","2023","Declared disabled","East of England","East Anglia","LGBO","115","110","28600","28120"
"In post","2023","Declared disabled","East of England","East Anglia","Undeclared","155","140","31420","28120"
"In post","2023","Declared disabled","East of England","East Anglia","Unknown","70","60","29610","28120"
