"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AO","175","150","25640","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","250","225","29800","30890"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G7","35","35","60310","58820"
"In post","2023","Asian","Bedfordshire and Hertfordshire","HEO","75","70","36620","37770"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO","55","55","44020","42540"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","45","45","29810","28110"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","30","30","22340","21380"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","175","150","25920","24220"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","220","200","29810","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","35","35","58190","55840"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","75","75","36190","35000"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","45","45","42730","41550"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","35","35","28780","25300"
"In post","2023","Asian","Cheshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AO","25","20","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","25","25","[c]","[c]"
"In post","2023","Asian","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","HEO","25","25","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AO","5","5","[c]","[c]"
