"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Heterosexual / straight","265","245","22130","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","LGBO","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Undeclared","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Unknown","85","75","22520","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Heterosexual / straight","2270","2070","24840","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","LGBO","185","180","24570","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Undeclared","260","230","23650","22220"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Unknown","1065","960","24220","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","2380","2200","28280","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","LGBO","180","170","28180","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Undeclared","305","275","28400","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Unknown","805","745","28150","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Heterosexual / straight","270","265","70630","69940"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Unknown","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Heterosexual / straight","825","795","56450","56520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","LGBO","45","45","57240","56870"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Undeclared","90","85","57390","57970"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Unknown","145","140","56150","56450"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Heterosexual / straight","1700","1620","34510","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","LGBO","115","110","34590","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Undeclared","215","205","34220","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Unknown","505","485","34470","34850"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Heterosexual / straight","60","60","91810","90220"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Heterosexual / straight","1125","1075","42910","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","LGBO","65","60","42300","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Undeclared","150","140","43460","42510"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Unknown","215","205","42310","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","660","605","29860","29050"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","LGBO","50","45","29260","26840"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Undeclared","55","50","31610","30810"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Unknown","135","125","28590","26840"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Heterosexual / straight","190","175","21630","21730"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Undeclared","30","25","21730","19930"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Unknown","80","75","21600","19930"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Heterosexual / straight","1575","1400","24410","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","LGBO","90","85","25060","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Undeclared","190","170","24410","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Unknown","430","380","24640","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Heterosexual / straight","1180","1100","28530","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","LGBO","75","75","28810","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Undeclared","155","140","28320","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Unknown","300","265","28320","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Heterosexual / straight","40","40","73600","72800"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Undeclared","10","5","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Heterosexual / straight","165","155","55760","53750"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Unknown","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Heterosexual / straight","450","425","34960","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","LGBO","30","30","34880","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Undeclared","65","65","35460","34620"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Unknown","65","60","34930","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Heterosexual / straight","260","250","44140","41510"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Undeclared","35","35","45240","45000"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Unknown","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Heterosexual / straight","475","440","30500","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","LGBO","30","30","27720","23640"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Undeclared","45","40","33740","32410"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Unknown","105","95","27610","26840"
