"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","10","10","40030","39430"
"In post","2023","Active Travel England","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","15","10","38250","36280"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","15","15","63950","61780"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","40","40","42730","43360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","15","10","40000","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","35","30","21550","21520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","270","250","25790","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","25","25","60810","59520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","510","465","35690","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA/AO","775","725","22630","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","645","615","27010","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6/G7","100","100","54430","51580"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","570","550","34240","32710"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","[c]","[c]","[c]","[c]"
