"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","AO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G7","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G7","Male","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","HEO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","HEO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO","Female","25","25","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","AO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","G6","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","G6","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","G7","Female","25","25","[c]","[c]"
"In post","2023","Commercial","East of England","G7","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East of England","HEO","Female","35","35","33630","33830"
"In post","2023","Commercial","East of England","HEO","Male","30","30","33590","33120"
"In post","2023","Commercial","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","SEO","Female","60","55","42440","41200"
"In post","2023","Commercial","East of England","SEO","Male","40","40","42010","40750"
"In post","2023","Commercial","East of England","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AO","Female","30","25","[c]","[c]"
"In post","2023","Commercial","London","AO","Male","25","20","[c]","[c]"
"In post","2023","Commercial","London","EO","Female","60","60","30820","31200"
"In post","2023","Commercial","London","EO","Male","55","55","30730","30770"
"In post","2023","Commercial","London","G6","Female","120","120","75250","72520"
"In post","2023","Commercial","London","G6","Male","155","155","76360","72360"
"In post","2023","Commercial","London","G7","Female","225","215","60630","56640"
"In post","2023","Commercial","London","G7","Male","260","260","61590","58370"
"In post","2023","Commercial","London","HEO","Female","170","170","35270","35410"
"In post","2023","Commercial","London","HEO","Male","120","120","35230","35410"
"In post","2023","Commercial","London","SCS level","Female","60","55","112490","103430"
"In post","2023","Commercial","London","SCS level","Male","105","105","125470","123120"
"In post","2023","Commercial","London","SEO","Female","175","170","44430","43650"
"In post","2023","Commercial","London","SEO","Male","150","145","45480","43760"
"In post","2023","Commercial","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","G7","Female","20","20","[c]","[c]"
"In post","2023","Commercial","North East (England)","G7","Male","25","25","[c]","[c]"
"In post","2023","Commercial","North East (England)","HEO","Female","30","30","33020","34170"
"In post","2023","Commercial","North East (England)","HEO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO","Female","35","35","40340","39090"
"In post","2023","Commercial","North East (England)","SEO","Male","25","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","Female","20","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","EO","Female","60","55","27540","28120"
"In post","2023","Commercial","North West (England)","EO","Male","25","25","[c]","[c]"
