"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","HEO","Heterosexual / straight","40","40","33390","32960"
"In post","2023","Analysis","Cabinet Office","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","HEO","Unknown","65","65","29740","28840"
"In post","2023","Analysis","Cabinet Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6","Heterosexual / straight","85","75","93690","92410"
"In post","2023","Analysis","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6","Undeclared","15","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G7","Heterosexual / straight","45","40","57720","55950"
"In post","2023","Analysis","Competition and Markets Authority","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","45","45","27880","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","35","30","59430","59370"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","90","85","36230","35700"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","30","30","45170","43980"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","50","50","57060","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","40","40","39350","39040"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","G6","Heterosexual / straight","35","35","66530","65780"
"In post","2023","Analysis","Department for Education","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","G7","Heterosexual / straight","115","110","54420","55020"
"In post","2023","Analysis","Department for Education","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","HEO","Heterosexual / straight","90","90","34620","33950"
"In post","2023","Analysis","Department for Education","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","SEO","Heterosexual / straight","185","180","43900","43250"
"In post","2023","Analysis","Department for Education","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","45","40","25990","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","Unknown","70","65","26000","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","35","30","49890","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G7","Unknown","40","40","50210","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","65","60","30560","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","HEO","Unknown","80","80","30540","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","50","50","37780","37310"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO","Unknown","65","60","37800","37310"
"In post","2023","Analysis","Department for International Trade","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
