"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derby","AA/AO","Heterosexual / straight","260","225","23130","21690"
"In post","2023","East Midlands (England)","Derby","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","AA/AO","Undeclared","45","35","21860","21690"
"In post","2023","East Midlands (England)","Derby","AA/AO","Unknown","115","95","23420","21690"
"In post","2023","East Midlands (England)","Derby","EO","Heterosexual / straight","225","200","28250","28120"
"In post","2023","East Midlands (England)","Derby","EO","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","EO","Unknown","55","50","28010","28120"
"In post","2023","East Midlands (England)","Derby","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","Heterosexual / straight","55","55","36280","34170"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","Unknown","Heterosexual / straight","200","185","30150","29050"
"In post","2023","East Midlands (England)","Derby","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","Unknown","Unknown","35","30","28500","27940"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","Heterosexual / straight","80","65","21560","21690"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Heterosexual / straight","85","75","27960","28120"
"In post","2023","East Midlands (England)","East Derbyshire","EO","LGBO","10","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Undeclared","15","10","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Unknown","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","Heterosexual / straight","35","35","36780","34970"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Heterosexual / straight","65","60","29370","29050"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","AA/AO","Heterosexual / straight","695","620","23140","21780"
"In post","2023","East Midlands (England)","Leicester","AA/AO","LGBO","35","30","22580","21780"
"In post","2023","East Midlands (England)","Leicester","AA/AO","Undeclared","95","85","22880","21780"
"In post","2023","East Midlands (England)","Leicester","AA/AO","Unknown","155","135","22980","21780"
"In post","2023","East Midlands (England)","Leicester","EO","Heterosexual / straight","430","400","28160","28120"
"In post","2023","East Midlands (England)","Leicester","EO","LGBO","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","EO","Undeclared","55","50","28100","28120"
"In post","2023","East Midlands (England)","Leicester","EO","Unknown","130","115","27900","28120"
"In post","2023","East Midlands (England)","Leicester","G6/G7","Heterosexual / straight","80","75","55420","52980"
"In post","2023","East Midlands (England)","Leicester","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","G6/G7","Undeclared","10","10","[c]","[c]"
