"Status","Year","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Human Resources","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","170","155","32660","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Operational Delivery","300","280","27760","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Science and Engineering","95","90","31910","29100"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Veterinarian","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","130","130","49820","51290"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","165","155","40050","38460"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Legal","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Policy","55","55","45110","41870"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Security","55","55","37360","34320"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","285","280","42040","38050"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Digital, Data and Technology","35","35","30680","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Finance","10","10","[c]","[c]"
