"Status","Year","Age","Parent_department","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Inner London - West","London","10","10","23200","20980"
"In post","2023","16-19","Attorney General's Departments","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Devon","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
