"Status","Year","Age","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
