"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","20","20","22520","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","London","25","20","27290","26400"
"In post","2023","16-19","Home Office","Operational Delivery","Outside London","105","95","22930","22400"
"In post","2023","16-19","Home Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Other","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Met Office","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Operational Delivery","Outside London","10","10","22080","22220"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Other","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Operational Delivery","Outside London","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Unknown","Outside London","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Other","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Unknown","Outside London","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Science and Engineering","Outside London","15","15","18580","18280"
"In post","2023","16-19","The Insolvency Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","Outside London","10","10","24840","24840"
"In post","2023","16-19","UK Statistics Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","Outside London","15","15","21680","21200"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Property","Outside London","15","15","23600","22520"
"In post","2023","16-19","Vehicle Certification Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Unknown","Outside London","20","20","26630","24890"
"In post","2023","20-29","Active Travel England","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Active Travel England","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","45","45","27590","25160"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","London","10","10","33380","32720"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","Outside London","395","390","26200","25920"
"In post","2023","20-29","Animal and Plant Health Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","Outside London","135","135","28240","29080"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Veterinarian","Outside London","20","20","30920","30320"
"In post","2023","20-29","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Operational Research","London","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Other","London","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Other","Outside London","10","10","34920","31880"
"In post","2023","20-29","Building Digital UK","Project Delivery","London","20","20","42490","35620"
"In post","2023","20-29","Building Digital UK","Project Delivery","Outside London","15","15","38540","33880"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Commercial","London","10","10","34960","32420"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Commercial","Outside London","15","15","32270","33020"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Communications","London","30","30","41240","39750"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","115","115","48380","55790"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","60","60","41690","38460"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Economics","London","15","15","45960","37370"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Finance","London","15","15","37010","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Finance","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Human Resources","London","55","55","37190","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Human Resources","Outside London","90","85","27620","24860"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
