"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Inner London - West","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","Operational Research","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
