"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","AA/AO","AA","20","20","23020","23230"
"In post","2023","16-19","East Midlands (England)","AA/AO","AO","60","55","25180","22520"
"In post","2023","16-19","East Midlands (England)","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AA/AO","AA","15","15","22870","23230"
"In post","2023","16-19","East of England","AA/AO","AO","55","50","24790","22400"
"In post","2023","16-19","East of England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","London","AA/AO","AO","65","60","25860","26400"
"In post","2023","16-19","London","EO","EO","50","50","28820","29280"
"In post","2023","16-19","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","North East (England)","AA/AO","AO","55","55","23500","22520"
"In post","2023","16-19","North East (England)","EO","EO","15","15","25670","24860"
"In post","2023","16-19","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","AA/AO","AA","15","15","23080","23230"
"In post","2023","16-19","North West (England)","AA/AO","AO","105","95","23310","22400"
"In post","2023","16-19","North West (England)","EO","EO","20","20","26650","26490"
"In post","2023","16-19","North West (England)","Unknown","Unknown","10","5","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","AA/AO","AA","55","55","22400","22180"
"In post","2023","16-19","Scotland","AA/AO","AO","75","70","22750","22520"
"In post","2023","16-19","Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","AA/AO","AA","25","25","22320","23230"
"In post","2023","16-19","South East (England)","AA/AO","AO","100","100","24070","22400"
"In post","2023","16-19","South East (England)","EO","EO","25","25","26040","25750"
"In post","2023","16-19","South East (England)","Unknown","Unknown","35","35","22210","22750"
"In post","2023","16-19","South West (England)","AA/AO","AA","30","30","21030","20720"
"In post","2023","16-19","South West (England)","AA/AO","AO","150","145","20890","19460"
"In post","2023","16-19","South West (England)","EO","EO","10","10","[c]","[c]"
"In post","2023","16-19","South West (England)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Unknown","Unknown","20","20","18720","18280"
"In post","2023","16-19","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Wales","AA/AO","AA","50","45","18900","19000"
"In post","2023","16-19","Wales","AA/AO","AO","95","90","22600","22500"
"In post","2023","16-19","Wales","EO","EO","10","10","26060","24840"
"In post","2023","16-19","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","AA/AO","AA","15","15","21540","23230"
"In post","2023","16-19","West Midlands (England)","AA/AO","AO","55","50","23490","22440"
"In post","2023","16-19","West Midlands (England)","EO","EO","15","15","27010","25830"
"In post","2023","16-19","West Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","AA/AO","AA","15","15","23020","23230"
"In post","2023","16-19","Yorkshire and The Humber","AA/AO","AO","90","90","23730","22520"
"In post","2023","16-19","Yorkshire and The Humber","EO","EO","10","10","26060","25900"
"In post","2023","16-19","Yorkshire and The Humber","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","AA/AO","AA","195","190","22050","23230"
"In post","2023","20-29","East Midlands (England)","AA/AO","AO","1555","1510","25340","22520"
"In post","2023","20-29","East Midlands (England)","EO","EO","860","845","27970","28080"
"In post","2023","20-29","East Midlands (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","G6/G7","G7","45","45","53950","54020"
"In post","2023","20-29","East Midlands (England)","SEO/HEO","HEO","465","460","33530","34400"
"In post","2023","20-29","East Midlands (England)","SEO/HEO","SEO","105","105","40410","40890"
"In post","2023","20-29","East Midlands (England)","Unknown","Unknown","395","385","25000","23640"
"In post","2023","20-29","East of England","AA/AO","AA","220","210","22580","23230"
"In post","2023","20-29","East of England","AA/AO","AO","1165","1145","27310","28880"
"In post","2023","20-29","East of England","EO","EO","720","710","28430","28120"
"In post","2023","20-29","East of England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East of England","G6/G7","G7","35","35","53840","54100"
"In post","2023","20-29","East of England","SEO/HEO","HEO","295","295","32970","32800"
"In post","2023","20-29","East of England","SEO/HEO","SEO","125","125","41030","41000"
"In post","2023","20-29","East of England","Unknown","Unknown","420","410","25470","24570"
"In post","2023","20-29","London","AA/AO","AA","220","215","25060","23500"
"In post","2023","20-29","London","AA/AO","AO","2125","2095","28340","26400"
"In post","2023","20-29","London","EO","EO","4630","4590","30570","29890"
"In post","2023","20-29","London","G6/G7","G6","260","260","68160","66710"
"In post","2023","20-29","London","G6/G7","G7","3515","3505","56410","55370"
"In post","2023","20-29","London","SCS level","SCS level","15","15","80080","74940"
"In post","2023","20-29","London","SEO/HEO","HEO","7535","7505","35260","35120"
"In post","2023","20-29","London","SEO/HEO","SEO","3895","3880","42910","42600"
"In post","2023","20-29","London","Unknown","Unknown","505","495","29520","28580"
"In post","2023","20-29","North East (England)","AA/AO","AA","110","105","22810","23230"
"In post","2023","20-29","North East (England)","AA/AO","AO","2005","1935","23720","22520"
"In post","2023","20-29","North East (England)","EO","EO","1315","1295","27590","28080"
"In post","2023","20-29","North East (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","North East (England)","G6/G7","G7","110","110","53070","51870"
"In post","2023","20-29","North East (England)","SEO/HEO","HEO","760","755","33100","34170"
"In post","2023","20-29","North East (England)","SEO/HEO","SEO","295","290","40160","39590"
"In post","2023","20-29","North East (England)","Unknown","Unknown","270","265","25150","24570"
"In post","2023","20-29","North West (England)","AA/AO","AA","175","170","22060","23230"
"In post","2023","20-29","North West (England)","AA/AO","AO","3880","3785","23700","22400"
"In post","2023","20-29","North West (England)","EO","EO","3015","2985","27480","27890"
"In post","2023","20-29","North West (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","North West (England)","G6/G7","G7","265","260","53400","52600"
"In post","2023","20-29","North West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North West (England)","SEO/HEO","HEO","1685","1680","33070","33260"
"In post","2023","20-29","North West (England)","SEO/HEO","SEO","615","615","40100","39520"
"In post","2023","20-29","North West (England)","Unknown","Unknown","780","760","24830","23640"
"In post","2023","20-29","Northern Ireland","AA/AO","AA","20","20","21890","22130"
"In post","2023","20-29","Northern Ireland","AA/AO","AO","290","275","22500","22520"
"In post","2023","20-29","Northern Ireland","EO","EO","180","175","27220","27890"
"In post","2023","20-29","Northern Ireland","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","20-29","Northern Ireland","SEO/HEO","HEO","90","90","33880","34700"
"In post","2023","20-29","Northern Ireland","SEO/HEO","SEO","30","30","39240","38050"
"In post","2023","20-29","Overseas","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","EO","EO","20","20","33670","34160"
"In post","2023","20-29","Overseas","G6/G7","G7","45","45","53680","53530"
"In post","2023","20-29","Overseas","SEO/HEO","HEO","210","210","35480","33540"
"In post","2023","20-29","Overseas","SEO/HEO","SEO","50","50","45220","42160"
"In post","2023","20-29","Overseas","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Scotland","AA/AO","AA","865","835","23100","22920"
"In post","2023","20-29","Scotland","AA/AO","AO","2655","2590","23970","22520"
"In post","2023","20-29","Scotland","EO","EO","2305","2280","29290","29100"
"In post","2023","20-29","Scotland","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","20-29","Scotland","G6/G7","G7","270","270","53300","52360"
"In post","2023","20-29","Scotland","SEO/HEO","HEO","1315","1310","34760","34700"
"In post","2023","20-29","Scotland","SEO/HEO","SEO","405","405","42810","42140"
"In post","2023","20-29","Scotland","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","South East (England)","AA/AO","AA","295","285","22510","23230"
"In post","2023","20-29","South East (England)","AA/AO","AO","2090","2060","27190","25700"
"In post","2023","20-29","South East (England)","EO","EO","1705","1680","28220","27650"
"In post","2023","20-29","South East (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","South East (England)","G6/G7","G7","75","75","52440","51460"
"In post","2023","20-29","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","South East (England)","SEO/HEO","HEO","955","950","32130","31560"
"In post","2023","20-29","South East (England)","SEO/HEO","SEO","420","415","39930","39890"
"In post","2023","20-29","South East (England)","Unknown","Unknown","535","525","25650","24570"
"In post","2023","20-29","South West (England)","AA/AO","AA","265","255","21520","21380"
"In post","2023","20-29","South West (England)","AA/AO","AO","1895","1870","24330","22520"
"In post","2023","20-29","South West (England)","EO","EO","1470","1450","27440","27140"
"In post","2023","20-29","South West (England)","G6/G7","G6","10","10","66870","62950"
"In post","2023","20-29","South West (England)","G6/G7","G7","175","175","51790","51360"
"In post","2023","20-29","South West (England)","SEO/HEO","HEO","1885","1875","31960","31920"
"In post","2023","20-29","South West (England)","SEO/HEO","SEO","775","770","39970","39890"
"In post","2023","20-29","South West (England)","Unknown","Unknown","790","775","28130","26840"
"In post","2023","20-29","Unknown","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","AA/AO","AO","45","45","23720","22400"
"In post","2023","20-29","Unknown","EO","EO","65","65","26470","25830"
"In post","2023","20-29","Unknown","G6/G7","G7","10","10","55960","55790"
"In post","2023","20-29","Unknown","SEO/HEO","HEO","25","25","33040","33990"
"In post","2023","20-29","Unknown","SEO/HEO","SEO","15","15","41510","39960"
"In post","2023","20-29","Unknown","Unknown","Unknown","375","375","32290","33280"
"In post","2023","20-29","Wales","AA/AO","AA","280","260","20030","19000"
"In post","2023","20-29","Wales","AA/AO","AO","2005","1940","23520","22500"
"In post","2023","20-29","Wales","EO","EO","1410","1390","27590","27890"
"In post","2023","20-29","Wales","G6/G7","G6","10","10","62860","61580"
"In post","2023","20-29","Wales","G6/G7","G7","105","105","53280","51460"
"In post","2023","20-29","Wales","SEO/HEO","HEO","860","855","32980","32160"
"In post","2023","20-29","Wales","SEO/HEO","SEO","395","395","40530","39300"
"In post","2023","20-29","Wales","Unknown","Unknown","330","325","24850","24570"
"In post","2023","20-29","West Midlands (England)","AA/AO","AA","150","150","22520","23230"
"In post","2023","20-29","West Midlands (England)","AA/AO","AO","2160","2095","24250","22500"
"In post","2023","20-29","West Midlands (England)","EO","EO","1415","1395","27720","27890"
"In post","2023","20-29","West Midlands (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","West Midlands (England)","G6/G7","G7","145","145","52670","51360"
"In post","2023","20-29","West Midlands (England)","SEO/HEO","HEO","800","795","32910","32550"
"In post","2023","20-29","West Midlands (England)","SEO/HEO","SEO","315","315","39840","39010"
"In post","2023","20-29","West Midlands (England)","Unknown","Unknown","410","400","25730","24570"
"In post","2023","20-29","Yorkshire and The Humber","AA/AO","AA","245","240","22820","23230"
"In post","2023","20-29","Yorkshire and The Humber","AA/AO","AO","2440","2375","25080","22520"
"In post","2023","20-29","Yorkshire and The Humber","EO","EO","1985","1955","27630","27890"
"In post","2023","20-29","Yorkshire and The Humber","G6/G7","G6","25","25","64430","63960"
"In post","2023","20-29","Yorkshire and The Humber","G6/G7","G7","220","220","52490","51360"
"In post","2023","20-29","Yorkshire and The Humber","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Yorkshire and The Humber","SEO/HEO","HEO","1130","1125","32600","32160"
"In post","2023","20-29","Yorkshire and The Humber","SEO/HEO","SEO","500","500","39360","38470"
"In post","2023","20-29","Yorkshire and The Humber","Unknown","Unknown","530","520","25200","24330"
