"Status","Year","Disability","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
