"Status","Year","Age","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","85","85","19340","18780"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","15","15","18410","18280"
"In post","2023","16-19","Bedford","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","Outside London","AA/AO","40","35","22830","22490"
"In post","2023","16-19","Birmingham","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","Outside London","AA/AO","20","20","22380","22520"
"In post","2023","16-19","Bradford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Outside London","AA/AO","20","20","22750","22520"
"In post","2023","16-19","Bristol, City of","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Outside London","AA/AO","10","10","25420","26470"
"In post","2023","16-19","Cambridgeshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","AA/AO","30","30","22760","22520"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Outside London","AA/AO","10","10","28130","30880"
"In post","2023","16-19","Central Hampshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Central Valleys","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Outside London","AA/AO","10","10","[c]","[c]"
