"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","AO","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","EO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","G7","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","AO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","EO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","G7","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","AO","115","105","24110","24480"
"In post","2023","Asian","Attorney General's Departments","London","EO","155","145","28710","28200"
"In post","2023","Asian","Attorney General's Departments","London","G6","85","80","69420","67600"
"In post","2023","Asian","Attorney General's Departments","London","G7","280","260","57110","54100"
"In post","2023","Asian","Attorney General's Departments","London","HEO","60","60","35900","33970"
"In post","2023","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","SEO","45","45","40810","40800"
"In post","2023","Asian","Attorney General's Departments","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","AO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","G7","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","AO","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","EO","10","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","G7","30","30","52530","49050"
"In post","2023","Asian","Attorney General's Departments","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","AO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","EO","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","G7","15","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","G7","[c]","[c]","[c]","[c]"
