"Status","Year","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","AA/AO","AA","Heterosexual / straight","675","625","21870","22520"
"In post","2023","East Midlands (England)","AA/AO","AA","LGBO","50","50","22230","23230"
"In post","2023","East Midlands (England)","AA/AO","AA","Undeclared","80","70","21700","21380"
"In post","2023","East Midlands (England)","AA/AO","AA","Unknown","215","200","22080","23230"
"In post","2023","East Midlands (England)","AA/AO","AO","Heterosexual / straight","4590","4165","24800","22520"
"In post","2023","East Midlands (England)","AA/AO","AO","LGBO","310","295","25080","22520"
"In post","2023","East Midlands (England)","AA/AO","AO","Undeclared","535","480","24020","21960"
"In post","2023","East Midlands (England)","AA/AO","AO","Unknown","1620","1460","24470","22520"
"In post","2023","East Midlands (England)","EO","EO","Heterosexual / straight","4090","3795","28420","28120"
"In post","2023","East Midlands (England)","EO","EO","LGBO","280","270","28440","28120"
"In post","2023","East Midlands (England)","EO","EO","Undeclared","540","485","28460","28120"
"In post","2023","East Midlands (England)","EO","EO","Unknown","1200","1100","28220","28120"
"In post","2023","East Midlands (England)","G6/G7","G6","Heterosexual / straight","340","335","71140","70060"
"In post","2023","East Midlands (England)","G6/G7","G6","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","G6/G7","G6","Undeclared","40","35","76340","71300"
"In post","2023","East Midlands (England)","G6/G7","G6","Unknown","40","35","71930","70620"
"In post","2023","East Midlands (England)","G6/G7","G7","Heterosexual / straight","1065","1020","56340","56080"
"In post","2023","East Midlands (England)","G6/G7","G7","LGBO","55","50","56990","56870"
"In post","2023","East Midlands (England)","G6/G7","G7","Undeclared","115","110","57010","57210"
"In post","2023","East Midlands (England)","G6/G7","G7","Unknown","185","175","55870","56160"
"In post","2023","East Midlands (England)","SCS level","SCS level","Heterosexual / straight","75","75","90260","88510"
"In post","2023","East Midlands (England)","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","SEO/HEO","HEO","Heterosexual / straight","2460","2345","34630","34700"
"In post","2023","East Midlands (England)","SEO/HEO","HEO","LGBO","155","150","34580","34700"
"In post","2023","East Midlands (England)","SEO/HEO","HEO","Undeclared","325","305","34570","34700"
"In post","2023","East Midlands (England)","SEO/HEO","HEO","Unknown","605","580","34480","34700"
"In post","2023","East Midlands (England)","SEO/HEO","SEO","Heterosexual / straight","1585","1525","43200","42140"
"In post","2023","East Midlands (England)","SEO/HEO","SEO","LGBO","85","85","42550","42140"
"In post","2023","East Midlands (England)","SEO/HEO","SEO","Undeclared","210","200","44190","42510"
"In post","2023","East Midlands (England)","SEO/HEO","SEO","Unknown","260","250","42430","42140"
"In post","2023","East Midlands (England)","Unknown","Unknown","Heterosexual / straight","1335","1235","30150","29050"
"In post","2023","East Midlands (England)","Unknown","Unknown","LGBO","95","95","28260","24570"
"In post","2023","East Midlands (England)","Unknown","Unknown","Undeclared","115","110","32470","30810"
"In post","2023","East Midlands (England)","Unknown","Unknown","Unknown","260","240","27920","26840"
