"Status","Year","Age","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Economics","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Science and Engineering","10","10","22970","23340"
"In post","2023","16-19","Analysis","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Economics","10","10","24840","24840"
"In post","2023","16-19","Analysis","UK Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","Other","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Operational Delivery","45","45","22720","22520"
"In post","2023","16-19","Debt","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
