"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","Male","35","35","47950","43650"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","Female","[c]","[c]","[c]","[c]"
