"Status","Year","Disability","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","East Midlands (England)","30","30","52740","55610"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","East of England","30","30","54380","57620"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","London","265","250","60740","63100"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","North East (England)","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","North West (England)","60","55","54840","56450"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","South East (England)","50","50","56100","58820"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","South West (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","Wales","20","20","[c]","[c]"
