"Status","Year","Organisation","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Heterosexual / straight","75","65","36360","33520"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Unknown","45","45","29280","24890"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Unknown","10","5","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Unknown","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Heterosexual / straight","55","50","32300","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Undeclared","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Unknown","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Heterosexual / straight","30","25","36020","35070"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Heterosexual / straight","55","50","32910","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","35","35","34700","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
