"Status","Year","Age","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","London","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","London","10","10","[c]","[c]"
"In post","2023","16-19","Asian","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Asian","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","16-19","Asian","No function","Yorkshire and The Humber","10","5","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","Scotland","[c]","[c]","[c]","[c]"
