"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Operational Delivery","London","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Operational Delivery","Outside London","55","55","26460","25920"
"In post","2023","Asian","Animal and Plant Health Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Science and Engineering","Outside London","30","30","32150","30320"
"In post","2023","Asian","Animal and Plant Health Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Project Delivery","London","10","10","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Commercial","London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Communications","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","90","90","52340","56430"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Finance","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Human Resources","London","45","45","44940","41870"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Human Resources","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Policy","London","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Project Delivery","London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
