"Status","Year","Disability","Ethnicity","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Outside London","90","80","33390","30910"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","65","60","35210","31280"
"In post","2023","Declared disabled","Asian","Cheshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","Outside London","115","105","30040","28120"
"In post","2023","Declared disabled","Asian","Devon","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Outside London","40","35","28600","27740"
"In post","2023","Declared disabled","Asian","East Wales","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","Outside London","35","30","35050","29100"
"In post","2023","Declared disabled","Asian","Essex","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","70","65","35620","31920"
"In post","2023","Declared disabled","Asian","Greater Manchester","Outside London","185","170","30670","28120"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inner London - East","London","315","290","38010","33050"
"In post","2023","Declared disabled","Asian","Inner London - West","London","640","620","42280","39150"
"In post","2023","Declared disabled","Asian","Kent","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Lancashire","Outside London","140","125","27240","26330"
"In post","2023","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Outside London","140","120","26270","25830"
"In post","2023","Declared disabled","Asian","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Merseyside","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northumberland, and Tyne and Wear","Outside London","45","45","28650","28120"
"In post","2023","Declared disabled","Asian","Outer London - East and North East","London","135","120","31160","32520"
"In post","2023","Declared disabled","Asian","Outer London - South","London","180","170","36200","32520"
"In post","2023","Declared disabled","Asian","Outer London - West and North West","London","280","245","33290","32520"
"In post","2023","Declared disabled","Asian","Overseas","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Shropshire and Staffordshire","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","South Yorkshire","Outside London","45","40","30680","28120"
"In post","2023","Declared disabled","Asian","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Surrey, East and West Sussex","Outside London","30","30","33480","31280"
"In post","2023","Declared disabled","Asian","Tees Valley and Durham","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Central Scotland","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands","Outside London","550","500","29300","28120"
"In post","2023","Declared disabled","Asian","West Wales and The Valleys","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Yorkshire","Outside London","240","220","29860","28120"
"In post","2023","Declared disabled","Black","Bedfordshire and Hertfordshire","Outside London","35","30","33140","31280"
"In post","2023","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","Outside London","35","35","31270","28120"
"In post","2023","Declared disabled","Black","Cheshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Derbyshire and Nottinghamshire","Outside London","55","55","29120","28120"
"In post","2023","Declared disabled","Black","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Anglia","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","East Wales","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Essex","Outside London","30","30","30630","31280"
"In post","2023","Declared disabled","Black","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","50","50","33180","31920"
"In post","2023","Declared disabled","Black","Greater Manchester","Outside London","70","65","32160","28120"
"In post","2023","Declared disabled","Black","Hampshire and Isle of Wight","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Herefordshire, Worcestershire and Warwickshire","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inner London - East","London","380","360","34280","32520"
"In post","2023","Declared disabled","Black","Inner London - West","London","580","555","39200","35410"
"In post","2023","Declared disabled","Black","Kent","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Leicestershire, Rutland and Northamptonshire","Outside London","35","30","26930","25830"
"In post","2023","Declared disabled","Black","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
