"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","EO","55","50","26020","25160"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","100","90","33730","32360"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","AA/AO","AO","150","140","23070","22150"
"In post","2023","Declared disabled","Animal and Plant Health Agency","EO","EO","120","115","27060","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","G6/G7","G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","SEO/HEO","HEO","80","75","31810","30640"
"In post","2023","Declared disabled","Animal and Plant Health Agency","SEO/HEO","SEO","45","40","39630","38280"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","AO","80","70","22560","21720"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","EO","EO","115","110","27360","28050"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G6","65","65","67270","66530"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G7","195","190","55710","56430"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","SCS level","SCS level","45","45","87820","77560"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","HEO","150","150","34770","34650"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","SEO","140","135","41030","41410"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","SEO/HEO","HEO","320","320","30680","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","[c]","[c]","[c]","[c]"
