"Status","Year","Disability","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","SEO/HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","G6/G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","No function","AA/AO","285","260","24270","22510"
"In post","2023","Declared disabled","Mixed","No function","EO","330","300","29310","28120"
"In post","2023","Declared disabled","Mixed","No function","G6/G7","90","85","60260","58250"
"In post","2023","Declared disabled","Mixed","No function","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","No function","SEO/HEO","220","210","38130","36890"
"In post","2023","Declared disabled","Mixed","No function","Unknown","170","160","31870","29130"
"In post","2023","Declared disabled","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","SEO/HEO","40","40","35850","35000"
"In post","2023","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","SEO/HEO","40","35","36650","35530"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Finance","EO","[c]","[c]","[c]","[c]"
