"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Berkshire","G6/G7","30","30","60650","59290"
"In post","2023","Declared disabled","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire","SEO/HEO","80","75","39180","37710"
"In post","2023","Declared disabled","Berkshire","Unknown","50","50","29870","29050"
"In post","2023","Declared disabled","Bexley and Greenwich","AA/AO","75","70","30170","28180"
"In post","2023","Declared disabled","Bexley and Greenwich","EO","90","85","33470","32520"
"In post","2023","Declared disabled","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Birmingham","AA/AO","470","415","22620","21780"
"In post","2023","Declared disabled","Birmingham","EO","490","435","27780","28120"
"In post","2023","Declared disabled","Birmingham","G6/G7","150","140","58320","57810"
"In post","2023","Declared disabled","Birmingham","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Birmingham","SEO/HEO","410","395","36600","35000"
"In post","2023","Declared disabled","Birmingham","Unknown","130","120","31250","29050"
"In post","2023","Declared disabled","Blackburn with Darwen","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Blackpool","AA/AO","325","280","21650","21690"
"In post","2023","Declared disabled","Blackpool","EO","340","300","28040","28120"
"In post","2023","Declared disabled","Blackpool","G6/G7","80","75","55720","50160"
"In post","2023","Declared disabled","Blackpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Blackpool","SEO/HEO","190","180","36350","34170"
"In post","2023","Declared disabled","Blackpool","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","AA/AO","40","35","21700","21730"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","EO","55","50","27740","28120"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","Unknown","30","25","29800","29050"
"In post","2023","Declared disabled","Bradford","AA/AO","170","140","22020","21780"
"In post","2023","Declared disabled","Bradford","EO","105","90","28060","28120"
"In post","2023","Declared disabled","Bradford","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bradford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bradford","SEO/HEO","40","35","36700","35000"
"In post","2023","Declared disabled","Bradford","Unknown","50","45","31230","27430"
"In post","2023","Declared disabled","Breckland and South Norfolk","AA/AO","40","35","27260","25340"
"In post","2023","Declared disabled","Breckland and South Norfolk","EO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Breckland and South Norfolk","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Brent","AA/AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Brent","EO","40","35","31980","32520"
"In post","2023","Declared disabled","Brent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Brent","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Brent","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","AA/AO","35","30","21700","21690"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","EO","50","45","28240","28120"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Brighton and Hove","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Brighton and Hove","EO","50","45","28090","28120"
"In post","2023","Declared disabled","Brighton and Hove","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Brighton and Hove","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Brighton and Hove","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Bristol, City of","AA/AO","180","160","22680","22050"
"In post","2023","Declared disabled","Bristol, City of","EO","200","180","27940","28120"
"In post","2023","Declared disabled","Bristol, City of","G6/G7","145","140","56220","55430"
"In post","2023","Declared disabled","Bristol, City of","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bristol, City of","SEO/HEO","265","255","36240","35000"
"In post","2023","Declared disabled","Bristol, City of","Unknown","55","50","29760","29050"
"In post","2023","Declared disabled","Bromley","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bromley","EO","45","45","32290","32520"
"In post","2023","Declared disabled","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bromley","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bromley","Unknown","35","35","33340","33050"
"In post","2023","Declared disabled","Buckinghamshire","AA/AO","65","60","27220","24220"
"In post","2023","Declared disabled","Buckinghamshire","EO","70","65","29550","28480"
"In post","2023","Declared disabled","Buckinghamshire","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Buckinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Buckinghamshire","SEO/HEO","60","55","39790","37920"
"In post","2023","Declared disabled","Buckinghamshire","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Calderdale and Kirklees","AA/AO","30","25","21560","21690"
"In post","2023","Declared disabled","Calderdale and Kirklees","EO","120","105","28020","28120"
"In post","2023","Declared disabled","Calderdale and Kirklees","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Calderdale and Kirklees","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Calderdale and Kirklees","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Calderdale and Kirklees","Unknown","50","45","29590","29050"
"In post","2023","Declared disabled","Cambridgeshire CC","AA/AO","125","115","26830","24270"
