"Status","Year","Disability","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Heterosexual / straight","70","65","37860","37720"
"In post","2023","Declared disabled","Analysis","East Wales","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","75","75","41250","39890"
