"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","85","85","19190","18780"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","15","15","18410","18280"
"In post","2023","16-19","Bedford","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","AO","35","35","22810","22460"
"In post","2023","16-19","Birmingham","EO","5","5","[c]","[c]"
"In post","2023","16-19","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","AO","20","20","22380","22520"
"In post","2023","16-19","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","AO","15","15","22670","22510"
"In post","2023","16-19","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","AO","10","10","25420","26470"
"In post","2023","16-19","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","AO","30","30","22760","22520"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","AO","10","10","28620","30880"
"In post","2023","16-19","Central Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","AO","5","5","[c]","[c]"
"In post","2023","16-19","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","AA","5","5","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","AA","10","10","22590","22180"
"In post","2023","16-19","City of Edinburgh","AO","10","10","23550","22520"
"In post","2023","16-19","Clackmannanshire and Fife","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","AO","10","10","26780","26920"
"In post","2023","16-19","Croydon","EO","5","5","[c]","[c]"
"In post","2023","16-19","Croydon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Darlington","EO","10","10","[c]","[c]"
"In post","2023","16-19","Devon CC","AA","5","5","[c]","[c]"
"In post","2023","16-19","Devon CC","AO","10","10","[c]","[c]"
"In post","2023","16-19","Dorset","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","AA","[c]","[c]","[c]","[c]"
