"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Heterosexual / straight","145","135","43770","40800"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","35","30","50900","62640"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","95","90","41780","35550"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","Unknown","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","West Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","235","225","37390","31180"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Unknown","55","50","42790","46050"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","Devon CC","Heterosexual / straight","85","80","40850","38940"
"In post","2023","Attorney General's Departments","Devon","Devon CC","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","Devon CC","Unknown","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Dorset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Somerset CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Somerset CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Somerset CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Cambridgeshire CC","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Heterosexual / straight","70","65","36230","26900"
"In post","2023","Attorney General's Departments","East Anglia","Norwich and East Norfolk","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Peterborough","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Suffolk CC","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Suffolk CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Suffolk CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Suffolk CC","Unknown","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","180","165","42200","39630"
"In post","2023","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","LGBO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Unknown","40","35","40060","32240"
"In post","2023","Attorney General's Departments","East Wales","Flintshire and Wrexham","Heterosexual / straight","65","60","38620","38350"
