"Status","Year","Organisation","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","Male","35","35","30220","29180"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","Male","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","Female","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","Female","90","85","42260","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","Male","75","75","46170","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Female","85","75","30220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","Male","55","50","33000","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Female","80","70","32090","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","Male","60","60","32180","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Female","50","45","31460","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Glasgow City","Male","45","40","33850","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Perth and Kinross, and Stirling","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Perth and Kinross, and Stirling","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","North Hampshire","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Female","50","45","33110","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Birmingham","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Female","35","30","34340","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Leeds","Male","35","30","33110","32110"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Leicestershire CC and Rutland","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Nottingham","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Cambridgeshire CC","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Heart of Essex","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Norwich and East Norfolk","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","Female","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Suffolk CC","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","West Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","West Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Harrow and Hillingdon","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","Female","20","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Hounslow and Richmond upon Thames","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Westminster","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","Female","30","30","32020","28440"
"In post","2023","Animal and Plant Health Agency","North East (England)","Tyneside","Male","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Cheshire East","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","Female","115","110","26160","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","East Cumbria","Male","70","70","25790","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Manchester","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","Female","60","55","28570","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","Mid Lancashire","Male","30","30","35040","27350"
"In post","2023","Animal and Plant Health Agency","North West (England)","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Caithness and Sutherland, and Ross and Cromarty","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Caithness and Sutherland, and Ross and Cromarty","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","Female","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Perth and Kinross, and Stirling","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Scottish Borders","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","Scottish Borders","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","South Ayrshire","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","South Ayrshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scotland","South Lanarkshire","Female","10","10","[c]","[c]"
