"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Kent","Female","25","25","[c]","[c]"
"In post","2023","16-19","East Kent","Male","20","20","[c]","[c]"
"In post","2023","16-19","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Riding of Yorkshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","Male","10","10","[c]","[c]"
"In post","2023","16-19","Glasgow City","Female","25","25","[c]","[c]"
"In post","2023","16-19","Glasgow City","Male","15","15","[c]","[c]"
"In post","2023","16-19","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","Female","5","5","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","Female","10","5","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","Male","5","5","[c]","[c]"
"In post","2023","16-19","Gwynedd","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gwynedd","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Harrow and Hillingdon","Female","5","5","[c]","[c]"
"In post","2023","16-19","Harrow and Hillingdon","Male","10","10","[c]","[c]"
"In post","2023","16-19","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","Female","10","10","[c]","[c]"
"In post","2023","16-19","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hounslow and Richmond upon Thames","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverclyde, East Renfrewshire, and Renfrewshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancaster and Wyre","Female","5","5","[c]","[c]"
"In post","2023","16-19","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leeds","Female","30","25","[c]","[c]"
"In post","2023","16-19","Leeds","Male","20","20","[c]","[c]"
"In post","2023","16-19","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire CC and Rutland","Female","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire CC and Rutland","Male","10","10","[c]","[c]"
"In post","2023","16-19","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire CC","Female","5","5","[c]","[c]"
"In post","2023","16-19","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","16-19","Lisburn and Castlereagh","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lisburn and Castlereagh","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Liverpool","Female","25","20","[c]","[c]"
"In post","2023","16-19","Liverpool","Male","15","15","[c]","[c]"
"In post","2023","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Manchester","Female","10","10","[c]","[c]"
"In post","2023","16-19","Manchester","Male","10","10","[c]","[c]"
"In post","2023","16-19","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Kent","Female","[c]","[c]","[c]","[c]"
