"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","AA","Female","Heterosexual / straight","360","320","21790","21380"
"In post","2023","East Midlands (England)","AA","Female","LGBO","40","40","22310","23230"
"In post","2023","East Midlands (England)","AA","Female","Undeclared","45","35","21710","21380"
"In post","2023","East Midlands (England)","AA","Female","Unknown","110","105","21830","21760"
"In post","2023","East Midlands (England)","AA","Male","Heterosexual / straight","315","300","21960","23230"
"In post","2023","East Midlands (England)","AA","Male","LGBO","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","AA","Male","Undeclared","35","35","21690","21380"
"In post","2023","East Midlands (England)","AA","Male","Unknown","105","95","22350","23230"
"In post","2023","East Midlands (England)","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","AO","Female","Heterosexual / straight","2615","2255","23530","22220"
"In post","2023","East Midlands (England)","AO","Female","LGBO","180","170","25330","22520"
"In post","2023","East Midlands (England)","AO","Female","Undeclared","330","285","23160","21780"
"In post","2023","East Midlands (England)","AO","Female","Unknown","875","755","23490","22520"
"In post","2023","East Midlands (England)","AO","Male","Heterosexual / straight","1975","1905","26480","24070"
"In post","2023","East Midlands (England)","AO","Male","LGBO","130","125","24740","22520"
"In post","2023","East Midlands (England)","AO","Male","Undeclared","205","200","25400","22520"
"In post","2023","East Midlands (England)","AO","Male","Unknown","745","705","25630","22520"
"In post","2023","East Midlands (England)","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","EO","Female","Heterosexual / straight","2365","2130","28050","28120"
"In post","2023","East Midlands (England)","EO","Female","LGBO","150","145","28490","28120"
"In post","2023","East Midlands (England)","EO","Female","Undeclared","295","255","27950","28120"
"In post","2023","East Midlands (England)","EO","Female","Unknown","650","570","28010","28120"
"In post","2023","East Midlands (England)","EO","Male","Heterosexual / straight","1725","1665","28930","28120"
"In post","2023","East Midlands (England)","EO","Male","LGBO","130","125","28370","28120"
"In post","2023","East Midlands (England)","EO","Male","Undeclared","245","230","29060","28120"
"In post","2023","East Midlands (England)","EO","Male","Unknown","550","530","28470","28120"
"In post","2023","East Midlands (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Female","Heterosexual / straight","180","175","69550","68970"
"In post","2023","East Midlands (England)","G6","Female","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Female","Unknown","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Male","Heterosexual / straight","160","155","72950","71300"
"In post","2023","East Midlands (England)","G6","Male","LGBO","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Male","Unknown","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","G7","Female","Heterosexual / straight","550","515","55620","55320"
"In post","2023","East Midlands (England)","G7","Female","LGBO","30","30","56150","56450"
"In post","2023","East Midlands (England)","G7","Female","Undeclared","55","55","56050","56430"
"In post","2023","East Midlands (England)","G7","Female","Unknown","90","80","55360","55780"
"In post","2023","East Midlands (England)","G7","Male","Heterosexual / straight","520","505","57100","56780"
"In post","2023","East Midlands (England)","G7","Male","LGBO","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","G7","Male","Undeclared","60","55","57940","57970"
"In post","2023","East Midlands (England)","G7","Male","Unknown","95","95","56330","56870"
"In post","2023","East Midlands (England)","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","HEO","Female","Heterosexual / straight","1320","1235","34130","34300"
"In post","2023","East Midlands (England)","HEO","Female","LGBO","85","85","34430","34400"
"In post","2023","East Midlands (England)","HEO","Female","Undeclared","150","140","34160","34700"
"In post","2023","East Midlands (England)","HEO","Female","Unknown","305","285","34270","34700"
"In post","2023","East Midlands (England)","HEO","Male","Heterosexual / straight","1140","1110","35210","34850"
"In post","2023","East Midlands (England)","HEO","Male","LGBO","65","65","34770","34700"
"In post","2023","East Midlands (England)","HEO","Male","Undeclared","170","165","34940","34850"
"In post","2023","East Midlands (England)","HEO","Male","Unknown","300","295","34700","34740"
"In post","2023","East Midlands (England)","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Female","Heterosexual / straight","45","45","89080","82080"
"In post","2023","East Midlands (England)","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Male","Heterosexual / straight","30","30","92100","91710"
"In post","2023","East Midlands (England)","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SEO","Female","Heterosexual / straight","915","865","42920","42140"
"In post","2023","East Midlands (England)","SEO","Female","LGBO","50","50","43240","42140"
"In post","2023","East Midlands (England)","SEO","Female","Undeclared","115","105","43550","42510"
"In post","2023","East Midlands (England)","SEO","Female","Unknown","130","125","42250","42140"
"In post","2023","East Midlands (England)","SEO","Male","Heterosexual / straight","670","655","43590","42510"
"In post","2023","East Midlands (England)","SEO","Male","LGBO","35","35","41530","42140"
"In post","2023","East Midlands (England)","SEO","Male","Undeclared","100","95","44910","42870"
"In post","2023","East Midlands (England)","SEO","Male","Unknown","130","125","42620","42510"
"In post","2023","East Midlands (England)","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Unknown","Female","Heterosexual / straight","1045","955","30020","29050"
"In post","2023","East Midlands (England)","Unknown","Female","LGBO","75","70","28560","24570"
"In post","2023","East Midlands (England)","Unknown","Female","Undeclared","75","70","30920","29050"
"In post","2023","East Midlands (England)","Unknown","Female","Unknown","205","185","27520","26840"
"In post","2023","East Midlands (England)","Unknown","Male","Heterosexual / straight","290","280","30620","29050"
"In post","2023","East Midlands (England)","Unknown","Male","LGBO","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Unknown","Male","Undeclared","40","35","35530","35030"
"In post","2023","East Midlands (England)","Unknown","Male","Unknown","60","55","29320","26840"
"In post","2023","East Midlands (England)","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","AA","Female","Heterosexual / straight","465","410","21830","21560"
"In post","2023","East of England","AA","Female","LGBO","40","35","22620","23230"
"In post","2023","East of England","AA","Female","Undeclared","50","45","21950","22160"
"In post","2023","East of England","AA","Female","Unknown","105","90","22040","23230"
"In post","2023","East of England","AA","Male","Heterosexual / straight","480","450","22050","23230"
"In post","2023","East of England","AA","Male","LGBO","15","15","[c]","[c]"
"In post","2023","East of England","AA","Male","Undeclared","60","55","21730","21380"
"In post","2023","East of England","AA","Male","Unknown","130","120","22370","23230"
"In post","2023","East of England","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","AO","Female","Heterosexual / straight","2185","1920","24760","23390"
"In post","2023","East of England","AO","Female","LGBO","145","140","26940","25610"
"In post","2023","East of England","AO","Female","Undeclared","270","230","24350","22520"
"In post","2023","East of England","AO","Female","Unknown","575","490","24540","22520"
"In post","2023","East of England","AO","Male","Heterosexual / straight","1920","1865","28560","28880"
"In post","2023","East of England","AO","Male","LGBO","85","85","27240","25610"
"In post","2023","East of England","AO","Male","Undeclared","230","215","28050","25670"
"In post","2023","East of England","AO","Male","Unknown","525","500","27090","25610"
"In post","2023","East of England","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","EO","Female","Heterosexual / straight","2550","2270","29080","28120"
"In post","2023","East of England","EO","Female","LGBO","135","125","29170","28120"
"In post","2023","East of England","EO","Female","Undeclared","310","280","29160","28120"
"In post","2023","East of England","EO","Female","Unknown","570","490","28870","28120"
"In post","2023","East of England","EO","Male","Heterosexual / straight","1915","1840","29870","28120"
"In post","2023","East of England","EO","Male","LGBO","95","95","29170","28120"
"In post","2023","East of England","EO","Male","Undeclared","310","290","29660","28120"
"In post","2023","East of England","EO","Male","Unknown","510","485","29270","28120"
"In post","2023","East of England","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G6","Female","Heterosexual / straight","160","150","70160","68980"
"In post","2023","East of England","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G6","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","East of England","G6","Female","Unknown","20","20","[c]","[c]"
"In post","2023","East of England","G6","Male","Heterosexual / straight","145","140","71450","68290"
"In post","2023","East of England","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G6","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","East of England","G6","Male","Unknown","35","35","71590","70150"
"In post","2023","East of England","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G7","Female","Heterosexual / straight","440","415","56790","55020"
"In post","2023","East of England","G7","Female","LGBO","20","20","[c]","[c]"
"In post","2023","East of England","G7","Female","Undeclared","50","50","56150","55110"
"In post","2023","East of England","G7","Female","Unknown","100","90","56690","55210"
"In post","2023","East of England","G7","Male","Heterosexual / straight","385","375","57810","55250"
"In post","2023","East of England","G7","Male","LGBO","20","20","[c]","[c]"
"In post","2023","East of England","G7","Male","Undeclared","50","50","56190","55110"
"In post","2023","East of England","G7","Male","Unknown","95","95","55870","54100"
"In post","2023","East of England","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","HEO","Female","Heterosexual / straight","1155","1090","34510","34170"
"In post","2023","East of England","HEO","Female","LGBO","55","55","35140","33630"
"In post","2023","East of England","HEO","Female","Undeclared","130","120","34820","34300"
"In post","2023","East of England","HEO","Female","Unknown","200","185","34130","33850"
"In post","2023","East of England","HEO","Male","Heterosexual / straight","1140","1110","35480","34300"
"In post","2023","East of England","HEO","Male","LGBO","50","50","34890","34470"
"In post","2023","East of England","HEO","Male","Undeclared","185","180","35630","34640"
"In post","2023","East of England","HEO","Male","Unknown","170","165","34840","34290"
"In post","2023","East of England","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Female","Heterosexual / straight","35","30","97060","95410"
"In post","2023","East of England","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2023","East of England","SCS level","Male","Heterosexual / straight","65","60","97570","97380"
"In post","2023","East of England","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2023","East of England","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SEO","Female","Heterosexual / straight","735","695","43050","41720"
"In post","2023","East of England","SEO","Female","LGBO","30","30","43940","41380"
"In post","2023","East of England","SEO","Female","Undeclared","105","100","43340","42140"
"In post","2023","East of England","SEO","Female","Unknown","125","115","41540","41000"
"In post","2023","East of England","SEO","Male","Heterosexual / straight","730","710","43880","41890"
"In post","2023","East of England","SEO","Male","LGBO","40","40","43170","41800"
"In post","2023","East of England","SEO","Male","Undeclared","115","110","44520","42800"
"In post","2023","East of England","SEO","Male","Unknown","135","130","41830","41190"
"In post","2023","East of England","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Unknown","Female","Heterosexual / straight","1080","990","29850","29050"
"In post","2023","East of England","Unknown","Female","LGBO","75","75","27840","25300"
"In post","2023","East of England","Unknown","Female","Undeclared","65","60","31190","29050"
"In post","2023","East of England","Unknown","Female","Unknown","240","210","26980","26840"
"In post","2023","East of England","Unknown","Male","Heterosexual / straight","330","315","30640","27640"
"In post","2023","East of England","Unknown","Male","LGBO","15","15","[c]","[c]"
"In post","2023","East of England","Unknown","Male","Undeclared","35","30","30800","29050"
"In post","2023","East of England","Unknown","Male","Unknown","95","90","26760","26840"
"In post","2023","East of England","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","East of England","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","AA","Female","Heterosexual / straight","475","420","24610","23500"
"In post","2023","London","AA","Female","LGBO","20","20","[c]","[c]"
"In post","2023","London","AA","Female","Undeclared","60","55","23920","23500"
"In post","2023","London","AA","Female","Unknown","205","190","25110","23670"
"In post","2023","London","AA","Male","Heterosexual / straight","485","470","24560","23500"
"In post","2023","London","AA","Male","LGBO","25","25","[c]","[c]"
"In post","2023","London","AA","Male","Undeclared","60","60","24080","23500"
"In post","2023","London","AA","Male","Unknown","210","200","24930","23670"
"In post","2023","London","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","AO","Female","Heterosexual / straight","3595","3210","26850","25810"
"In post","2023","London","AO","Female","LGBO","185","175","29120","26920"
"In post","2023","London","AO","Female","Undeclared","560","485","26390","25610"
"In post","2023","London","AO","Female","Unknown","1545","1395","27340","26400"
"In post","2023","London","AO","Male","Heterosexual / straight","2735","2650","29040","26400"
"In post","2023","London","AO","Male","LGBO","155","155","28470","25900"
