"Status","Year","Disability","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","G6","15","10","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Outside London","SEO","30","30","51900","52750"
"In post","2023","Declared disabled","Intelligence Analysis","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","EO","45","40","31680","31310"
"In post","2023","Declared disabled","Intelligence Analysis","London","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","EO","110","105","27850","27650"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","HEO","45","45","33620","33910"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","HEO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","EO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","London","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","AO","50","45","22640","22220"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","EO","70","65","27490","27470"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","HEO","65","60","34180","34170"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","EO","30","30","31040","30160"
"In post","2023","Declared disabled","Legal","London","G6","80","75","72100","71340"
"In post","2023","Declared disabled","Legal","London","G7","175","160","59690","58820"
"In post","2023","Declared disabled","Legal","London","HEO","35","35","40620","39790"
"In post","2023","Declared disabled","Legal","London","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","SEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","EO","80","75","28220","28130"
"In post","2023","Declared disabled","Legal","Outside London","G6","30","30","72710","71730"
"In post","2023","Declared disabled","Legal","Outside London","G7","335","305","56870","56450"
"In post","2023","Declared disabled","Legal","Outside London","HEO","85","80","34840","35000"
"In post","2023","Declared disabled","Legal","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","SEO","150","135","41950","42430"
"In post","2023","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Outside London","AA","[c]","[c]","[c]","[c]"
