"Status","Year","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Heterosexual / straight","710","690","23460","22520"
"In post","2023","16-19","LGBO","85","85","23880","22520"
"In post","2023","16-19","Undeclared","40","40","23860","23230"
"In post","2023","16-19","Unknown","615","585","23000","22500"
"In post","2023","20-29","Heterosexual / straight","49925","49230","31590","29500"
"In post","2023","20-29","LGBO","6965","6890","31960","29530"
"In post","2023","20-29","Undeclared","4135","4080","32990","31060"
"In post","2023","20-29","Unknown","24110","23745","30130","28130"
"In post","2023","30-39","Heterosexual / straight","77375","73785","37210","33830"
"In post","2023","30-39","LGBO","7450","7300","37560","34170"
"In post","2023","30-39","Undeclared","6990","6720","38400","34700"
"In post","2023","30-39","Unknown","24520","23385","35180","31280"
"In post","2023","40-49","Heterosexual / straight","82980","78215","39480","34400"
"In post","2023","40-49","LGBO","4510","4380","40940","34890"
"In post","2023","40-49","Undeclared","9335","8800","38550","34170"
"In post","2023","40-49","Unknown","21550","20050","37010","31940"
"In post","2023","50-59","Heterosexual / straight","99015","93575","37650","32520"
"In post","2023","50-59","LGBO","3700","3555","38740","32920"
"In post","2023","50-59","Undeclared","14510","13610","36540","32270"
"In post","2023","50-59","Unknown","24375","22570","35740","29750"
"In post","2023","60-64","Heterosexual / straight","29810","24935","33870","28180"
"In post","2023","60-64","LGBO","835","720","35320","29660"
"In post","2023","60-64","Undeclared","4810","3915","33460","28130"
"In post","2023","60-64","Unknown","7535","6125","33020","28120"
"In post","2023","65+","Heterosexual / straight","9365","7290","32270","28120"
"In post","2023","65+","LGBO","220","175","32580","28120"
"In post","2023","65+","Undeclared","1655","1245","32860","28120"
"In post","2023","65+","Unknown","2625","1945","32480","28120"
"In post","2023","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","15","15","[c]","[c]"
"Leaver CS","2023","16-19","Heterosexual / straight","50","[c]","21700","21780"
"Leaver CS","2023","16-19","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","115","[c]","21130","21780"
"Leaver CS","2023","20-29","Heterosexual / straight","5670","[c]","28900","27570"
"Leaver CS","2023","20-29","LGBO","955","[c]","29530","27570"
"Leaver CS","2023","20-29","Undeclared","595","[c]","29530","27570"
"Leaver CS","2023","20-29","Unknown","4220","[c]","27760","25540"
"Leaver CS","2023","30-39","Heterosexual / straight","5145","[c]","36660","32520"
"Leaver CS","2023","30-39","LGBO","615","[c]","37870","33430"
"Leaver CS","2023","30-39","Undeclared","555","[c]","37370","33520"
"Leaver CS","2023","30-39","Unknown","2880","[c]","36460","32090"
"Leaver CS","2023","40-49","Heterosexual / straight","3875","[c]","39100","32000"
"Leaver CS","2023","40-49","LGBO","250","[c]","42950","34700"
"Leaver CS","2023","40-49","Undeclared","460","[c]","39940","34300"
"Leaver CS","2023","40-49","Unknown","1930","[c]","40380","32520"
"Leaver CS","2023","50-59","Heterosexual / straight","4775","[c]","37150","29320"
"Leaver CS","2023","50-59","LGBO","205","[c]","39540","31060"
"Leaver CS","2023","50-59","Undeclared","660","[c]","36410","31060"
"Leaver CS","2023","50-59","Unknown","2525","[c]","36770","28120"
"Leaver CS","2023","60-64","Heterosexual / straight","3395","[c]","36500","29290"
"Leaver CS","2023","60-64","LGBO","95","[c]","41750","32520"
"Leaver CS","2023","60-64","Undeclared","545","[c]","35480","30320"
"Leaver CS","2023","60-64","Unknown","1775","[c]","35790","28490"
"Leaver CS","2023","65+","Heterosexual / straight","2770","[c]","31230","27450"
"Leaver CS","2023","65+","LGBO","65","[c]","29590","26650"
"Leaver CS","2023","65+","Undeclared","485","[c]","30190","27450"
