"Status","Year","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","50","50","22630","22150"
"In post","2023","16-19","Declared non-disabled","635","620","23740","22520"
"In post","2023","16-19","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","745","715","22970","22500"
"In post","2023","20-29","Declared disabled","6555","6445","31080","28880"
"In post","2023","20-29","Declared non-disabled","46010","45365","31530","29080"
"In post","2023","20-29","Undeclared","2360","2325","32460","30540"
"In post","2023","20-29","Unknown","30210","29810","30830","28840"
"In post","2023","30-39","Declared disabled","10360","9860","35170","32040"
"In post","2023","30-39","Declared non-disabled","72000","68635","37210","33800"
"In post","2023","30-39","Undeclared","5140","4925","37340","34040"
"In post","2023","30-39","Unknown","28830","27770","36580","33340"
"In post","2023","40-49","Declared disabled","13665","12705","35750","31280"
"In post","2023","40-49","Declared non-disabled","77355","72720","39490","34300"
"In post","2023","40-49","Undeclared","6750","6410","38810","34680"
"In post","2023","40-49","Unknown","20610","19610","39470","34700"
"In post","2023","50-59","Declared disabled","20975","19440","34220","29050"
"In post","2023","50-59","Declared non-disabled","91450","86230","37700","32520"
"In post","2023","50-59","Undeclared","9665","9160","37240","32920"
"In post","2023","50-59","Unknown","19505","18480","38260","33690"
"In post","2023","60-64","Declared disabled","6970","5700","31460","28120"
"In post","2023","60-64","Declared non-disabled","27730","23010","33970","28130"
"In post","2023","60-64","Undeclared","3020","2490","34190","29730"
"In post","2023","60-64","Unknown","5265","4495","34980","29730"
"In post","2023","65+","Declared disabled","2215","1665","30360","28120"
"In post","2023","65+","Declared non-disabled","9000","6930","32280","28120"
"In post","2023","65+","Undeclared","960","740","33740","28130"
"In post","2023","65+","Unknown","1690","1320","34850","29050"
"In post","2023","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","15","10","[c]","[c]"
"In post","2023","Unknown","Unknown","15","15","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","60","[c]","21690","21780"
"Leaver CS","2023","16-19","Unknown","110","[c]","21270","21780"
"Leaver CS","2023","20-29","Declared disabled","760","[c]","27880","26350"
"Leaver CS","2023","20-29","Declared non-disabled","6005","[c]","29020","27570"
"Leaver CS","2023","20-29","Undeclared","350","[c]","29510","27570"
"Leaver CS","2023","20-29","Unknown","4320","[c]","28150","25880"
"Leaver CS","2023","30-39","Declared disabled","725","[c]","34280","29660"
"Leaver CS","2023","30-39","Declared non-disabled","5210","[c]","36830","32550"
"Leaver CS","2023","30-39","Undeclared","410","[c]","36040","31950"
"Leaver CS","2023","30-39","Unknown","2850","[c]","37350","33520"
"Leaver CS","2023","40-49","Declared disabled","705","[c]","35540","28330"
"Leaver CS","2023","40-49","Declared non-disabled","3760","[c]","39240","31460"
"Leaver CS","2023","40-49","Undeclared","325","[c]","39830","33790"
"Leaver CS","2023","40-49","Unknown","1725","[c]","42250","37060"
"Leaver CS","2023","50-59","Declared disabled","1165","[c]","33750","28120"
"Leaver CS","2023","50-59","Declared non-disabled","4695","[c]","37160","29290"
"Leaver CS","2023","50-59","Undeclared","550","[c]","37990","30470"
"Leaver CS","2023","50-59","Unknown","1755","[c]","38850","31940"
"Leaver CS","2023","60-64","Declared disabled","855","[c]","32450","28120"
"Leaver CS","2023","60-64","Declared non-disabled","3610","[c]","36490","29200"
"Leaver CS","2023","60-64","Undeclared","410","[c]","36030","31060"
"Leaver CS","2023","60-64","Unknown","935","[c]","39720","34770"
"Leaver CS","2023","65+","Declared disabled","805","[c]","28220","26660"
"Leaver CS","2023","65+","Declared non-disabled","2895","[c]","31430","27450"
"Leaver CS","2023","65+","Undeclared","350","[c]","32780","27570"
"Leaver CS","2023","65+","Unknown","575","[c]","34330","28490"
"Leaver CS","2023","Unknown","Declared disabled","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Declared non-disabled","60","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","85","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Declared disabled","420","[c]","32030","31060"
"Leaver Dept.","2023","20-29","Declared non-disabled","2665","[c]","32420","31060"
"Leaver Dept.","2023","20-29","Undeclared","175","[c]","34040","32320"
"Leaver Dept.","2023","20-29","Unknown","1920","[c]","32720","32000"
"Leaver Dept.","2023","30-39","Declared disabled","400","[c]","38140","33690"
"Leaver Dept.","2023","30-39","Declared non-disabled","2840","[c]","39090","34950"
"Leaver Dept.","2023","30-39","Undeclared","240","[c]","39480","35900"
"Leaver Dept.","2023","30-39","Unknown","1320","[c]","40170","37350"
"Leaver Dept.","2023","40-49","Declared disabled","330","[c]","37470","32060"
"Leaver Dept.","2023","40-49","Declared non-disabled","1940","[c]","41300","35030"
"Leaver Dept.","2023","40-49","Undeclared","140","[c]","36890","33560"
"Leaver Dept.","2023","40-49","Unknown","640","[c]","44950","39040"
"Leaver Dept.","2023","50-59","Declared disabled","270","[c]","36360","28340"
"Leaver Dept.","2023","50-59","Declared non-disabled","1210","[c]","40340","32520"
"Leaver Dept.","2023","50-59","Undeclared","125","[c]","38810","32520"
"Leaver Dept.","2023","50-59","Unknown","380","[c]","43670","38630"
"Leaver Dept.","2023","60-64","Declared disabled","35","[c]","30640","27570"
"Leaver Dept.","2023","60-64","Declared non-disabled","150","[c]","34450","28120"
"Leaver Dept.","2023","60-64","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Declared non-disabled","30","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Declared non-disabled","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","40","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","40","[c]","22630","21690"
"New entrant CS","2023","16-19","Declared non-disabled","475","[c]","23810","22520"
"New entrant CS","2023","16-19","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Unknown","650","[c]","22840","22400"
"New entrant CS","2023","20-29","Declared disabled","1510","[c]","27080","25830"
"New entrant CS","2023","20-29","Declared non-disabled","9360","[c]","27280","25830"
"New entrant CS","2023","20-29","Undeclared","460","[c]","27820","26630"
"New entrant CS","2023","20-29","Unknown","11680","[c]","27040","25750"
"New entrant CS","2023","30-39","Declared disabled","920","[c]","30520","27490"
"New entrant CS","2023","30-39","Declared non-disabled","5780","[c]","32410","28880"
"New entrant CS","2023","30-39","Undeclared","300","[c]","31050","28120"
