"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","100","100","48800","43360"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","30","30","42050","37060"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","15","15","40270","38460"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","20","15","44990","36000"
"In post","2023","Commercial","East of England","East Anglia","240","230","45520","40620"
"In post","2023","Commercial","East of England","Essex","5","5","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","185","180","53080","47050"
"In post","2023","Commercial","London","Inner London - West","1295","1275","61630","56200"
"In post","2023","Commercial","London","Outer London - East and North East","15","10","45870","43790"
"In post","2023","Commercial","London","Outer London - South","150","145","48730","43650"
"In post","2023","Commercial","London","Outer London - West and North West","65","65","38520","33330"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","110","105","44490","38470"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","75","75","45140","41590"
"In post","2023","Commercial","North West (England)","Cheshire","35","35","42410","38640"
"In post","2023","Commercial","North West (England)","Cumbria","20","20","43720","42620"
"In post","2023","Commercial","North West (England)","Greater Manchester","370","360","49370","42510"
"In post","2023","Commercial","North West (England)","Lancashire","195","190","43460","38470"
"In post","2023","Commercial","North West (England)","Merseyside","315","305","41750","40040"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","10","10","32450","29720"
"In post","2023","Commercial","Overseas","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Scotland","Eastern Scotland","105","100","38800","34570"
"In post","2023","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","65","65","51060","49960"
"In post","2023","Commercial","Scotland","West Central Scotland","210","205","41090","35490"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","195","190","43560","40750"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","300","290","42550","39890"
"In post","2023","Commercial","South East (England)","Kent","20","20","53020","50350"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","45","45","51290","49510"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","85","85","44800","40420"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","60","60","42690","42620"
