"Status","Year","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","15","15","46120","42040"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","10","10","42020","41330"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","1250","1200","43250","42620"
"In post","2023","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","15","15","43670","39470"
"In post","2023","Commercial","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2023","Commercial","Birmingham","120","120","52020","40660"
"In post","2023","Commercial","Blackpool","170","165","43040","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","5","5","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","95","90","48210","39880"
"In post","2023","Commercial","Buckinghamshire","70","70","41480","43200"
"In post","2023","Commercial","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","65","60","41000","38460"
"In post","2023","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","60","55","44110","38470"
"In post","2023","Commercial","Central Bedfordshire","5","5","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","190","185","42920","39890"
"In post","2023","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","10","10","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","10","10","48220","45810"
"In post","2023","Commercial","City of Edinburgh","60","60","41840","38170"
"In post","2023","Commercial","Clackmannanshire and Fife","15","10","35610","32800"
"In post","2023","Commercial","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2023","Commercial","Coventry","45","45","50820","45820"
"In post","2023","Commercial","Croydon","145","145","48810","43660"
"In post","2023","Commercial","Darlington","45","45","45640","39090"
"In post","2023","Commercial","Devon CC","50","50","45840","40420"
"In post","2023","Commercial","Dorset","10","10","51840","52020"
"In post","2023","Commercial","Durham","25","25","42880","43660"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","15","10","34720","31920"
"In post","2023","Commercial","East Kent","10","10","[c]","[c]"
"In post","2023","Commercial","East Merseyside","20","20","47190","40030"
"In post","2023","Commercial","East Riding of Yorkshire","10","10","[c]","[c]"
