"Status","Year","Disability","Ethnicity","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Derby","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Leicester","115","100","25750","22870"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Leicestershire CC and Rutland","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Nottingham","85","80","31090","28130"
"In post","2023","Declared disabled","Asian","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","West Northamptonshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Bedford","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Cambridgeshire CC","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Hertfordshire CC","55","50","36620","31360"
"In post","2023","Declared disabled","Asian","East of England","Luton","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Peterborough","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Suffolk CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","West Essex","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Barking & Dagenham and Havering","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Barnet","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Brent","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Camden and City of London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Croydon","170","155","36470","32530"
"In post","2023","Declared disabled","Asian","London","Ealing","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Enfield","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Hackney and Newham","155","145","39060","33900"
"In post","2023","Declared disabled","Asian","London","Haringey and Islington","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Harrow and Hillingdon","130","115","32650","31230"
"In post","2023","Declared disabled","Asian","London","Hounslow and Richmond upon Thames","75","65","33500","32520"
"In post","2023","Declared disabled","Asian","London","Kensington & Chelsea and Hammersmith & Fulham","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Lambeth","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Lewisham and Southwark","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Merton, Kingston upon Thames and Sutton","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Redbridge and Waltham Forest","90","80","30290","29300"
"In post","2023","Declared disabled","Asian","London","Tower Hamlets","90","85","39430","35310"
"In post","2023","Declared disabled","Asian","London","Wandsworth","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Westminster","600","585","43090","39150"
"In post","2023","Declared disabled","Asian","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Hartlepool and Stockton-on-Tees","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","South Teesside","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Tyneside","45","40","28680","28120"
"In post","2023","Declared disabled","Asian","North West (England)","Blackburn with Darwen","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Blackpool","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","East Lancashire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Greater Manchester North East","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Greater Manchester North West","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Greater Manchester South East","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Greater Manchester South West","80","75","31490","28130"
"In post","2023","Declared disabled","Asian","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Liverpool","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Manchester","65","65","32110","28950"
"In post","2023","Declared disabled","Asian","North West (England)","Mid Lancashire","100","90","26680","22520"
"In post","2023","Declared disabled","Asian","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Warrington","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Wirral","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Angus and Dundee City","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","City of Edinburgh","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Glasgow City","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","West Lothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Berkshire","35","30","30940","31280"
"In post","2023","Declared disabled","Asian","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Buckinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Central Hampshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","East Surrey","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Medway","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Milton Keynes","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Portsmouth","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","South Hampshire","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Southampton","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","West Surrey","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Bristol, City of","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
