"Status","Year","Age","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","London","15","15","27620","28510"
"In post","2023","16-19","Analysis","Economics","Outside London","15","15","25340","24840"
"In post","2023","16-19","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","Outside London","10","10","22970","23340"
"In post","2023","16-19","Analysis","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Communications","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","Outside London","45","40","22520","22520"
"In post","2023","16-19","Debt","Other","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Debt","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Outside London","30","30","23820","22750"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","Outside London","30","30","21830","21160"
"In post","2023","16-19","Finance","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","Outside London","20","20","23600","22220"
"In post","2023","16-19","Human Resources","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","Outside London","50","50","21280","20980"
"In post","2023","16-19","No function","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","London","50","45","27240","26400"
"In post","2023","16-19","No function","Operational Delivery","Outside London","715","680","23710","22520"
"In post","2023","16-19","No function","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","No function","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Other","Outside London","15","15","20720","19770"
"In post","2023","16-19","No function","Policy","London","10","10","26440","26010"
