"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Inner London - East","60","55","48090","43650"
"In post","2023","Analysis","Digital, Data and Technology","London","Inner London - West","30","30","50890","45040"
"In post","2023","Analysis","Digital, Data and Technology","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Eastern Scotland","10","10","43060","39590"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Wales","East Wales","10","10","44600","40540"
"In post","2023","Analysis","Digital, Data and Technology","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","15","15","42240","39090"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","Inner London - East","250","240","57560","55130"
"In post","2023","Analysis","Economics","London","Inner London - West","1085","1065","49450","53550"
"In post","2023","Analysis","Economics","London","Outer London - South","20","20","56940","56430"
"In post","2023","Analysis","Economics","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","Tees Valley and Durham","45","45","35050","30510"
"In post","2023","Analysis","Economics","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Greater Manchester","90","90","39410","35000"
"In post","2023","Analysis","Economics","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","Merseyside","10","10","37370","30840"
"In post","2023","Analysis","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Eastern Scotland","10","10","47050","34620"
"In post","2023","Analysis","Economics","Scotland","Southern Scotland","5","5","[c]","[c]"
