"Status","Year","Age","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","AA/AO","AO","55","55","21130","20980"
"In post","2023","16-19","Attorney General's Departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","EO","10","10","25400","24610"
"In post","2023","16-19","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","EO","10","10","26910","28510"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AA/AO","AO","25","25","22030","22150"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","EO","10","10","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","EO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","AA/AO","AA","40","35","19000","19000"
"In post","2023","16-19","Department for Transport","AA/AO","AO","45","40","22550","22500"
"In post","2023","16-19","Department for Transport","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","AA/AO","AO","65","65","21940","21690"
"In post","2023","16-19","Department for Work and Pensions","EO","EO","15","15","28120","28120"
"In post","2023","16-19","Department of Health and Social Care","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AA/AO","AO","5","5","[c]","[c]"
