"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA/AO","AA","Heterosexual / straight","120","115","21320","23230"
"In post","2023","16-19","AA/AO","AA","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","AA/AO","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","AA/AO","AA","Unknown","115","105","21960","22180"
"In post","2023","16-19","AA/AO","AO","Heterosexual / straight","455","445","23440","22520"
"In post","2023","16-19","AA/AO","AO","LGBO","50","50","23710","22520"
"In post","2023","16-19","AA/AO","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","AA/AO","AO","Unknown","380","365","23160","22480"
"In post","2023","16-19","EO","EO","Heterosexual / straight","95","95","27020","26900"
"In post","2023","16-19","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","EO","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","EO","EO","Unknown","55","55","26710","25750"
"In post","2023","16-19","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","40","40","21230","19280"
"In post","2023","16-19","Unknown","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","60","55","20230","19090"
"In post","2023","20-29","AA/AO","AA","Heterosexual / straight","1525","1465","22580","23230"
"In post","2023","20-29","AA/AO","AA","LGBO","250","245","22570","23230"
"In post","2023","20-29","AA/AO","AA","Undeclared","110","105","21790","22720"
"In post","2023","20-29","AA/AO","AA","Unknown","1165","1130","22530","22920"
"In post","2023","20-29","AA/AO","AO","Heterosexual / straight","13705","13375","25130","22520"
"In post","2023","20-29","AA/AO","AO","LGBO","1850","1820","24840","22520"
"In post","2023","20-29","AA/AO","AO","Undeclared","945","920","24510","22520"
"In post","2023","20-29","AA/AO","AO","Unknown","7810","7605","24620","22520"
"In post","2023","20-29","EO","EO","Heterosexual / straight","12595","12430","28670","28120"
"In post","2023","20-29","EO","EO","LGBO","1540","1525","28280","28120"
"In post","2023","20-29","EO","EO","Undeclared","990","980","28670","28120"
"In post","2023","20-29","EO","EO","Unknown","5965","5900","28190","27890"
"In post","2023","20-29","G6/G7","G6","Heterosexual / straight","180","180","66950","66490"
"In post","2023","20-29","G6/G7","G6","LGBO","45","45","67850","66620"
"In post","2023","20-29","G6/G7","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","G6/G7","G6","Unknown","85","85","68750","66750"
"In post","2023","20-29","G6/G7","G7","Heterosexual / straight","3135","3125","55170","55020"
"In post","2023","20-29","G6/G7","G7","LGBO","535","535","55350","55120"
"In post","2023","20-29","G6/G7","G7","Undeclared","365","365","55290","54700"
"In post","2023","20-29","G6/G7","G7","Unknown","990","985","56120","55720"
"In post","2023","20-29","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SEO/HEO","HEO","Heterosexual / straight","10470","10415","34060","34110"
"In post","2023","20-29","SEO/HEO","HEO","LGBO","1575","1565","34110","34170"
"In post","2023","20-29","SEO/HEO","HEO","Undeclared","1020","1015","33920","34000"
"In post","2023","20-29","SEO/HEO","HEO","Unknown","4945","4925","33650","34030"
"In post","2023","20-29","SEO/HEO","SEO","Heterosexual / straight","4940","4920","41490","41410"
"In post","2023","20-29","SEO/HEO","SEO","LGBO","710","705","41310","41360"
"In post","2023","20-29","SEO/HEO","SEO","Undeclared","520","520","41410","41440"
"In post","2023","20-29","SEO/HEO","SEO","Unknown","1770","1765","42140","42140"
"In post","2023","20-29","Unknown","Unknown","Heterosexual / straight","3370","3310","26640","24570"
"In post","2023","20-29","Unknown","Unknown","LGBO","455","445","25180","23720"
