"Status","Year","Disability","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","105","95","35100","29450"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Heterosexual / straight","245","220","27830","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","LGBO","55","50","28520","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Undeclared","30","30","24350","21690"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Heterosexual / straight","95","85","33120","32520"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","London","Heterosexual / straight","105","100","37690","32520"
"In post","2023","Declared disabled","Barnet","London","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","385","335","29180","28120"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","LGBO","40","35","27780","28120"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","40","35","26480","25320"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","1185","1125","39160","35020"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","90","85","35600","32500"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","190","180","40730","38790"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","65","60","34390","31920"
"In post","2023","Declared disabled","Bedford","Outside London","Heterosexual / straight","80","70","33250","29090"
"In post","2023","Declared disabled","Bedford","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedford","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Belfast","Outside London","Heterosexual / straight","220","205","33540","29730"
"In post","2023","Declared disabled","Belfast","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Belfast","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Belfast","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Berkshire","Outside London","Heterosexual / straight","260","245","35000","31710"
"In post","2023","Declared disabled","Berkshire","Outside London","LGBO","30","30","33510","31280"
"In post","2023","Declared disabled","Berkshire","Outside London","Undeclared","45","40","33790","31280"
"In post","2023","Declared disabled","Berkshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","London","Heterosexual / straight","145","140","32910","32520"
"In post","2023","Declared disabled","Bexley and Greenwich","London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Bexley and Greenwich","London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Birmingham","Outside London","Heterosexual / straight","1250","1150","32240","28120"
"In post","2023","Declared disabled","Birmingham","Outside London","LGBO","135","125","33150","28880"
"In post","2023","Declared disabled","Birmingham","Outside London","Undeclared","150","135","29920","28120"
"In post","2023","Declared disabled","Birmingham","Outside London","Unknown","120","105","29210","28120"
"In post","2023","Declared disabled","Blackburn with Darwen","Outside London","Heterosexual / straight","50","45","29900","28120"
"In post","2023","Declared disabled","Blackburn with Darwen","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Blackburn with Darwen","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Blackpool","Outside London","Heterosexual / straight","710","630","30010","28120"
"In post","2023","Declared disabled","Blackpool","Outside London","LGBO","90","85","28390","28120"
"In post","2023","Declared disabled","Blackpool","Outside London","Undeclared","95","85","29800","28120"
"In post","2023","Declared disabled","Blackpool","Outside London","Unknown","65","60","28980","28120"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","110","95","27340","28120"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bradford","Outside London","Heterosexual / straight","280","245","27580","25830"
"In post","2023","Declared disabled","Bradford","Outside London","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Bradford","Outside London","Undeclared","35","25","28190","27380"
"In post","2023","Declared disabled","Bradford","Outside London","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Breckland and South Norfolk","Outside London","Heterosexual / straight","65","60","30570","28300"
"In post","2023","Declared disabled","Breckland and South Norfolk","Outside London","LGBO","10","10","[c]","[c]"
