"Status","Year","Age","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","West Midlands","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","West Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","East Wales","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","85","85","19280","18780"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Hampshire and Isle of Wight","10","10","18820","18280"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Southern Scotland","10","10","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","21620","23340"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","West Midlands","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Greater Manchester","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Lancashire","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Northumberland, and Tyne and Wear","10","10","23830","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Southern Scotland","[c]","[c]","[c]","[c]"
