"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","30","30","26350","25320"
"In post","2023","16-19","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","10","10","22970","23340"
"In post","2023","16-19","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","5","5","[c]","[c]"
"In post","2023","16-19","Communications","Communications","5","5","[c]","[c]"
"In post","2023","16-19","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","45","45","22720","22520"
"In post","2023","16-19","Debt","Other","10","10","[c]","[c]"
"In post","2023","16-19","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","35","35","24570","23800"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Finance","35","30","22160","22370"
"In post","2023","16-19","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Human Resources","20","20","23480","22220"
"In post","2023","16-19","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Operational Delivery","55","55","21250","20980"
"In post","2023","16-19","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Operational Delivery","770","735","23950","22520"
"In post","2023","16-19","No function","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","No function","Other","20","20","20980","19770"
"In post","2023","16-19","No function","Policy","20","20","25490","25650"
"In post","2023","16-19","No function","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","70","70","19130","18460"
"In post","2023","16-19","No function","Tax","5","5","[c]","[c]"
"In post","2023","16-19","No function","Unknown","25","25","24910","22520"
"In post","2023","16-19","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","15","15","23120","20040"
"In post","2023","16-19","Project Delivery","Science and Engineering","15","15","18580","18280"
"In post","2023","16-19","Property","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Property","Other","5","5","[c]","[c]"
"In post","2023","16-19","Property","Property","40","40","23450","22750"
"In post","2023","16-19","Security","Security","5","5","[c]","[c]"
"In post","2023","16-19","Security","Unknown","10","10","25160","24470"
"In post","2023","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","35","35","19920","17650"
"In post","2023","16-19","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","15","15","20980","19430"
"In post","2023","16-19","Unknown","Unknown","55","55","23010","22180"
"In post","2023","20-29","Analysis","Digital, Data and Technology","40","35","40270","35410"
"In post","2023","20-29","Analysis","Economics","1060","1060","39670","36180"
"In post","2023","20-29","Analysis","Finance","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","15","15","31230","31750"
"In post","2023","20-29","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","165","165","32530","31060"
"In post","2023","20-29","Analysis","Operational Research","265","260","37830","36000"
"In post","2023","20-29","Analysis","Other","140","140","36790","35400"
"In post","2023","20-29","Analysis","Policy","100","100","39170","38300"
"In post","2023","20-29","Analysis","Project Delivery","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","305","305","31670","30650"
"In post","2023","20-29","Analysis","Social Research","575","570","38700","38200"
"In post","2023","20-29","Analysis","Statistics","960","955","37400","35000"
"In post","2023","20-29","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","50","50","36770","35150"
"In post","2023","20-29","Commercial","Commercial","1030","1025","35200","32500"
"In post","2023","20-29","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","80","80","38530","35920"
"In post","2023","20-29","Commercial","Other","25","25","33210","31880"
"In post","2023","20-29","Commercial","Policy","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","15","15","35800","34590"
"In post","2023","20-29","Commercial","Science and Engineering","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","30","30","40450","34400"
"In post","2023","20-29","Communications","Communications","740","740","36220","35280"
"In post","2023","20-29","Communications","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","15","15","39910","39150"
"In post","2023","20-29","Communications","Operational Delivery","15","15","39010","42000"
"In post","2023","20-29","Communications","Other","15","15","32760","31880"
"In post","2023","20-29","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","55","55","38120","35400"
"In post","2023","20-29","Counter Fraud","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Counter Fraud","1200","1190","29540","28120"
"In post","2023","20-29","Counter Fraud","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Intelligence Analysis","50","45","35030","34700"
"In post","2023","20-29","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Legal","210","205","30670","28130"
"In post","2023","20-29","Counter Fraud","Operational Delivery","275","270","29810","28120"
"In post","2023","20-29","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
