"Status","Year","Function_of_post","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Heterosexual / straight","35","35","38920","34250"
"In post","2023","Analysis","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Unknown","50","50","29840","30130"
"In post","2023","Analysis","Cabinet Office","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Heterosexual / straight","150","145","71590","67430"
"In post","2023","Analysis","Chancellor's other departments","London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Heterosexual / straight","100","95","64250","57540"
"In post","2023","Analysis","Competition and Markets Authority","London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","150","150","44870","38490"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Unknown","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","80","75","39870","37350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","85","85","52930","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Heterosexual / straight","165","160","50590","47230"
"In post","2023","Analysis","Department for Education","London","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","Outside London","Heterosexual / straight","295","280","43680","43250"
"In post","2023","Analysis","Department for Education","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Education","Outside London","Undeclared","30","30","44090","43690"
"In post","2023","Analysis","Department for Education","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","210","200","36110","30820"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","30","30","35360","31450"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Unknown","280","265","35340","30820"
"In post","2023","Analysis","Department for International Trade","London","Heterosexual / straight","160","160","49380","55370"
"In post","2023","Analysis","Department for International Trade","London","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","London","Unknown","50","50","48440","43350"
"In post","2023","Analysis","Department for International Trade","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Heterosexual / straight","170","170","50150","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Heterosexual / straight","50","45","43330","41950"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","London","Heterosexual / straight","205","200","51760","55740"
"In post","2023","Analysis","Department for Transport","London","LGBO","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Transport","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Transport","London","Unknown","65","65","48150","55190"
"In post","2023","Analysis","Department for Transport","Outside London","Heterosexual / straight","65","60","35990","33850"
"In post","2023","Analysis","Department for Transport","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Heterosexual / straight","175","165","51370","43760"
"In post","2023","Analysis","Department for Work and Pensions","London","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","Heterosexual / straight","335","310","43210","38470"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","LGBO","35","30","38310","35840"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","Undeclared","35","35","41840","38470"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","Unknown","50","50","44520","38610"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Heterosexual / straight","110","110","44300","41480"
"In post","2023","Analysis","Department of Health and Social Care","London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","Heterosexual / straight","70","70","48240","50830"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","Unknown","[c]","[c]","[c]","[c]"
