"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","Female","35","35","38630","40540"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","Female","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","Male","55","55","66390","67530"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","Female","45","45","38500","40000"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","Male","60","60","40720","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","Male","45","45","63050","60600"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Female","40","40","36630","36530"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Male","60","60","38610","38940"
"In post","2023","Attorney General's Departments","Finance","AA/AO","Female","45","40","23010","22870"
"In post","2023","Attorney General's Departments","Finance","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","EO","Female","35","30","27840","27760"
"In post","2023","Attorney General's Departments","Finance","EO","Male","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","Female","35","35","34700","33420"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","Male","35","35","35840","33140"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","EO","Female","40","35","27860","27760"
"In post","2023","Attorney General's Departments","Human Resources","EO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","Female","45","45","58070","55970"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","Female","95","90","35150","33800"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","Male","35","30","35830","35550"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","Female","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","EO","Female","185","185","29380","28200"
"In post","2023","Attorney General's Departments","Legal","EO","Male","85","85","29610","28200"
"In post","2023","Attorney General's Departments","Legal","G6/G7","Female","2955","2660","58850","56450"
"In post","2023","Attorney General's Departments","Legal","G6/G7","Male","1630","1580","60500","58820"
"In post","2023","Attorney General's Departments","Legal","SCS level","Female","170","160","87150","82880"
"In post","2023","Attorney General's Departments","Legal","SCS level","Male","105","105","89750","85000"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","Female","305","285","39760","38760"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","Male","155","155","39510","38760"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","Female","1120","1015","23230","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","Male","415","405","23150","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","Female","1090","1000","28450","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","Male","355","350","28660","28540"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","Female","85","80","61030","56950"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","Male","35","35","63030","64900"
"In post","2023","Attorney General's Departments","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","Female","320","305","35230","33810"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","Male","140","140","35250","33810"
"In post","2023","Attorney General's Departments","Other","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","EO","Female","20","20","[c]","[c]"
