"Status","Year","Age","Disability","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Highlands and Islands","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Highlands and Islands","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
