"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6/G7","15","15","56720","52000"
"In post","2023","Active Travel England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SEO/HEO","20","20","37920","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AA/AO","10","10","24420","24960"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","25","25","29650","29900"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","25","25","63110","61570"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","110","105","42380","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","35","30","21220","21210"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","270","250","25550","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","30","30","58610","53680"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","495","450","35360","34410"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","40","35","31620","32720"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","15","15","58770","57070"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","30","30","38660","38060"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","940","880","22950","22150"
"In post","2023","Animal and Plant Health Agency","Outside London","EO","795","760","27050","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","G6/G7","260","250","54770","54330"
"In post","2023","Animal and Plant Health Agency","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","SEO/HEO","990","945","35640","36370"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","AA/AO","10","10","[c]","[c]"
