"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","195","175","44840","41340"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","130","125","41590","33750"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","Outside London","15","15","57720","59690"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","30","25","37220","30020"
"In post","2023","Attorney General's Departments","Cumbria","East Cumbria","Outside London","30","25","41550","42030"
"In post","2023","Attorney General's Departments","Cumbria","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Outside London","315","295","37990","31180"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","Devon CC","Outside London","110","105","40930","38940"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Cambridgeshire CC","Outside London","20","20","42930","49050"
"In post","2023","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Outside London","95","85","35910","28000"
"In post","2023","Attorney General's Departments","East Anglia","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Suffolk CC","Outside London","35","35","40490","34280"
"In post","2023","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Outside London","235","215","41220","38760"
"In post","2023","Attorney General's Departments","East Wales","Flintshire and Wrexham","Outside London","95","85","40810","38940"
"In post","2023","Attorney General's Departments","East Wales","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","80","75","39810","33810"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","Heart of Essex","Outside London","210","195","42840","38460"
"In post","2023","Attorney General's Departments","Essex","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","30","25","58010","55470"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","235","220","43730","49050"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","15","10","36820","35000"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","Manchester","Outside London","400","370","41040","35000"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","Outside London","125","120","41710","30560"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","Outside London","170","160","44810","40800"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","Haringey and Islington","London","10","10","40910","25600"
"In post","2023","Attorney General's Departments","Inner London - East","Lewisham and Southwark","London","10","10","30230","25600"
"In post","2023","Attorney General's Departments","Inner London - West","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - West","Westminster","London","4705","4445","51400","52790"
"In post","2023","Attorney General's Departments","Kent","East Kent","Outside London","130","120","40720","34730"
"In post","2023","Attorney General's Departments","Kent","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent","Mid Kent","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancashire","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancashire","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancashire","Mid Lancashire","Outside London","195","185","40980","38850"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","155","145","38230","32520"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","15","15","42030","43910"
"In post","2023","Attorney General's Departments","Lincolnshire","Lincolnshire CC","Outside London","20","20","46990","56450"
"In post","2023","Attorney General's Departments","Merseyside","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Merseyside","Liverpool","Outside London","420","405","37820","31180"
"In post","2023","Attorney General's Departments","Merseyside","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Merseyside","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Yorkshire","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Yorkshire","York","Outside London","160","150","43760","38940"
"In post","2023","Attorney General's Departments","Northumberland, and Tyne and Wear","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Northumberland, and Tyne and Wear","Tyneside","Outside London","280","260","39070","31740"
"In post","2023","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","London","10","10","38920","25600"
