"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","15","15","23030","23340"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","UK Statistics Authority","15","15","24590","24840"
"In post","2023","16-19","Commercial","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","45","45","22710","22520"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","10","24260","21690"
"In post","2023","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Defence Equipment and Support","Ministry of Defence","15","15","19540","19460"
"In post","2023","16-19","Finance","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10","5","22960","22520"
"In post","2023","16-19","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Crown Prosecution Service","Attorney General's Departments","55","55","21170","20980"
"In post","2023","16-19","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","24290","25340"
"In post","2023","16-19","No function","Crown Office and Procurator Fiscal Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","16-19","No function","Defence Electronics and Components Agency","Ministry of Defence","10","10","17040","15780"
"In post","2023","16-19","No function","Defence Equipment and Support","Ministry of Defence","85","85","19110","18780"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","40","40","23070","21690"
"In post","2023","16-19","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","Department for Transport","75","65","20560","19000"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","Ministry of Justice","25","25","22110","21780"
"In post","2023","16-19","No function","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","Ministry of Justice","305","300","26010","26070"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","100","100","23110","22520"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Home Office","130","120","23720","22400"
"In post","2023","16-19","No function","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Ministry of Defence","20","20","22360","22220"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of the Public Guardian","Ministry of Justice","10","5","[c]","[c]"
"In post","2023","16-19","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","Scottish Government","10","10","24830","24710"
